time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
14,244,388,81,94,127,81,177,282,158,283,-126523.22283257368,-132611.21860443917,-127042.28420693084,-122921.06141126691,-132584.17160279362,-127864.7842008842,-127313.0313989557,-128060.94158612005,-119392.7189007684,-130192.29138089888
15,255,406,83,87,125,82,182,285,157,294,-126721.2111940461,-132721.9993273362,-127037.71777481976,-122958.84801058426,-132701.45514393764,-127866.61975091753,-127316.25191169152,-128010.32657415666,-119117.95407176018,-130256.58296728696
16,258,405,89,89,123,76,186,294,155,302,-126735.11471548356,-132750.06706497533,-127320.7675913838,-123084.37121152897,-132693.99311648865,-127886.08488486512,-127320.8540181873,-127991.80866060189,-119178.04906338759,-130224.39008471197
17,254,409,89,91,123,70,196,299,159,307,-126748.60714885304,-132773.56217567623,-127338.43898768179,-122964.00176318953,-132769.8820676925,-127891.69529548907,-127318.32387209787,-127989.31088475142,-119084.80279958398,-130355.73527385868
18,254,414,93,90,120,72,201,305,157,317,-126776.37882416509,-132799.50964607962,-127378.7474577902,-122941.0200200208,-132625.4762213181,-127906.78730514832,-127318.25495608868,-127973.79353478538,-119027.88708115499,-130316.56182757844
19,244,409,90,89,120,75,209,310,157,316,-126751.76041888628,-132452.85804400622,-127400.36134508264,-122919.65256060738,-132553.1356111232,-127925.0685454486,-127316.54638473388,-127991.58591594081,-119062.78837232711,-130265.09158088671
20,247,410,98,86,122,75,208,309,163,325,-126869.95682778394,-132418.19576683355,-127400.35263807444,-122896.60053840536,-132493.77179442145,-127889.96600263049,-127316.60105880866,-127882.49885174436,-119093.07086379439,-130263.22154337876
21,247,410,102,93,124,79,210,310,176,339,-127002.9380999847,-132541.82272137838,-127495.022825359,-123052.22661404245,-132587.8715505745,-127879.57269559424,-127312.8750840644,-127821.15937449184,-119126.09233931698,-130285.24854589548
22,239,411,102,95,138,87,221,327,181,338,-127015.29396717514,-132480.87173471827,-127529.4887828955,-123022.88720723936,-132634.6612833164,-127888.49452229218,-127316.36706710642,-127774.28459175462,-119080.13743164811,-130338.82303930384
23,236,408,103,102,141,91,221,329,188,344,-126990.20211660012,-132546.83996412574,-127677.11885314908,-123053.13583221233,-132555.25594020713,-127901.44715354076,-127315.89444828597,-127770.17855172006,-119124.91980331743,-130280.06657162566
24,232,397,100,102,147,93,220,337,188,348,-127017.78849661336,-132633.087433805,-127652.6434061829,-123076.22382559431,-132618.10247663214,-127903.54494465754,-127316.3270621184,-127775.87185197076,-119064.64106864751,-130283.5833275469
25,235,397,99,105,162,99,225,338,188,357,-127060.59326189054,-132665.10766720044,-127660.83827681415,-123034.58902254284,-132605.3808926041,-127881.87615053037,-127319.57762177975,-127780.73453016463,-119040.90698726181,-130277.45721860656
26,239,401,99,102,172,95,232,344,190,361,-127127.96679371147,-132624.5752116725,-127511.37027020536,-123057.46398526296,-132561.47262429362,-127895.03723124636,-127317.16777194387,-127729.88700860484,-119061.16303902012,-130298.80071652353
27,235,402,102,104,177,106,235,348,192,382,-127065.49689672703,-132569.06235984873,-127528.39445309732,-123017.85176610212,-132512.648600513,-127900.59774406743,-127316.85679830237,-127718.42903573773,-119199.4123903977,-130293.64814176051
28,252,400,108,106,180,112,240,366,193,383,-127041.48255667643,-132571.95456706022,-127624.20544557975,-123006.1032806855,-132509.89523611125,-127907.02970106341,-127318.6379079762,-127690.9334745394,-119149.78865863859,-130112.49509260466
29,269,405,114,105,180,122,251,383,193,388,-127041.99881224857,-132500.41493642746,-127609.58899083224,-122994.3992616457,-132485.49951781833,-127882.55858676012,-127315.97921633169,-127691.57756856731,-119321.97047147303,-130154.67389062901
30,272,401,122,113,196,144,254,388,209,401,-127032.08994953516,-132453.6230451573,-127644.61764149737,-122991.5051204031,-132438.3800519511,-127879.81156033961,-127321.66995173738,-127691.09063847149,-119360.14881018591,-130210.13984422052
31,291,398,125,130,209,160,265,385,220,406,-127128.88450752212,-132474.61412605166,-127674.46706366556,-123132.10565404953,-132457.78461522932,-127877.48277101491,-127321.12783835304,-127680.32478732253,-119344.1644272842,-130102.85422098977
32,302,415,121,139,220,174,286,399,225,423,-127115.86155905658,-132434.24244278198,-127598.21594784911,-123205.7046007759,-132416.5507376048,-127881.80661242799,-127318.5882480075,-127637.55815282943,-119371.74417452641,-130136.5838070493
33,316,419,138,164,232,175,297,408,230,446,-127074.84148825711,-132472.50419159894,-127569.8734999178,-123173.63499778284,-132440.77790065427,-127887.53774779451,-127320.52920966403,-127602.16734449689,-119389.44311887182,-130124.11719163976
34,330,445,161,188,242,184,323,421,238,457,-127086.50441520785,-132499.3168171246,-127528.58504875586,-123144.71628892983,-132406.71508138347,-127888.27977683533,-127319.01564525075,-127603.47306214801,-119506.82370067568,-130136.32014903653
35,333,457,180,197,250,199,323,437,247,485,-127104.08419046788,-132479.6086148992,-127471.02418730163,-123129.01926325767,-132281.11165444786,-127889.52737837435,-127316.0907371787,-127557.99193686304,-119523.40494556722,-130104.39681989852
36,329,477,205,197,257,212,339,454,240,506,-127107.19010729874,-132440.85235669505,-127498.6380726529,-123155.53149016177,-132336.9633317383,-127890.54262925402,-127315.12287566677,-127530.19054617675,-119534.4552292096,-130089.04422192053
37,338,489,211,205,260,213,339,470,258,525,-127116.33932907168,-132392.98843440326,-127390.65712851073,-123150.62109874387,-132341.7206198138,-127883.83865499627,-127308.77629640122,-127534.32275053555,-119567.06323504944,-130092.69001368043
38,346,497,219,202,266,208,333,492,255,535,-127192.96474636646,-132406.82748889088,-127411.7885127839,-123209.07527171947,-132327.31751462826,-127880.90611709094,-127307.9672004949,-127494.95552542551,-119512.04139965311,-130097.87439462026
39,342,495,236,205,274,213,335,506,265,547,-127279.64349400114,-132375.33010275173,-127395.65053624497,-123230.14645119905,-132322.1019413134,-127883.0069519089,-127304.24702624821,-127496.67737155267,-119521.8347232697,-130094.95782538621
40,346,493,275,215,273,233,341,512,277,563,-127310.78509883468,-132330.6461559415,-127373.81234640224,-123215.3588886902,-132310.65774672365,-127885.34060640873,-127309.19252807279,-127496.32322809067,-119683.08679330423,-130097.3505024093
41,353,505,274,226,294,245,348,536,288,584,-127314.17709018633,-132331.5530564207,-127283.7443060268,-123276.32240611227,-132260.5170631822,-127877.22144497269,-127313.93195282757,-127490.94624607493,-119730.121876205,-130042.89535859622
42,374,503,288,245,298,266,349,561,297,592,-127286.4928318033,-132322.59831799698,-127263.86237699538,-123311.22578817673,-132213.23710603302,-127876.42318532923,-127309.82025734962,-127468.86955351995,-119740.38102219526,-130035.78750787534
43,392,517,316,255,321,290,367,574,299,606,-127256.97879492049,-132331.12979010795,-127255.41158332079,-123340.86027583329,-132208.82204689542,-127876.54993431833,-127306.34010372337,-127469.07476349297,-119749.20462444829,-130009.81877887459
