time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
16,23,26,35,4,11,25,22,21,21,27,1.2361585389324965,2.04143386847104,1.7733919582102629,0.5894837256090433,0.7329195628315972,0.03097098185935627,0.10980211950048267,1.124324797119367,1.511464151658259,1.7067233807075757
17,34,51,67,12,21,42,33,24,25,47,0.6715530906359328,1.5958148216274841,0.5774952910575208,-1.7137872911106387,-0.13394335191626092,-0.887705448613711,0.057913897105725726,-0.4953998165444146,0.2698023612786479,1.2816831223822092
18,41,68,99,19,32,54,41,30,29,55,0.15784498061647304,1.1483235269926513,-0.5392823560115839,-3.924836379308715,-0.9648896605075447,-1.762837935697411,0.013138246611798968,-2.0157181076170336,-0.9363359989133877,0.6903929187366167
19,49,73,116,21,35,59,44,30,32,64,-0.31338246967744005,0.7909169989739671,-1.5891405632392546,-5.852060925463444,-1.736190111641236,-2.5571376463027136,-0.026803109634205853,-3.4163285958614407,-2.1183690664441777,0.3223908907699456
20,55,83,134,22,40,65,47,30,35,70,-0.678494022283253,0.47257750477610233,-2.490593692665537,-7.525096393108712,-2.3097812568679945,-3.257452575679938,-0.06426699712501334,-4.606176604598883,-3.103979639930212,-0.07392962723203463
21,62,92,142,23,45,69,52,30,36,74,-0.9376320686528071,0.22258924501691502,-3.092191651226319,-8.81771505890389,-2.8029535341409804,-3.821258138339722,-0.08870200092017233,-5.595227836822065,-3.9413371614624158,-0.3790673896043044
22,63,93,152,25,48,71,54,32,36,77,-1.1427684426026832,0.05026603563969609,-3.5665546276353637,-9.890783452605687,-3.1766150806068474,-4.225725898865225,-0.12009803123841573,-5.983853617365115,-4.348639038918511,-0.5127621428409856
23,65,91,158,26,48,75,54,33,36,78,-1.2005090640521012,-0.04974237900979303,-3.8696787221281186,-10.49226013463894,-3.339764525113818,-4.314220039607922,-0.13571893274041907,-6.252713900336254,-4.460388098903241,-0.5658804206769774
24,67,95,161,26,51,75,55,35,38,78,-1.0892424581754772,-0.08249886086854952,-3.8248090242725254,-10.261302645165953,-3.3374441407460456,-4.321785926372884,-0.13576993178774396,-6.228637597990805,-4.660938257684743,-0.5624881784902962
25,67,97,160,27,50,75,57,36,40,78,-0.9633785486374542,-0.005699368377784029,-3.59732458947789,-10.010044762441197,-3.165102155723708,-4.089846596457401,-0.12476377792510676,-5.959331004604847,-4.4552392735582504,-0.48316964303055315
