time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,population_run_11,population_run_12,population_run_13,population_run_14,population_run_15,population_run_16,population_run_17,population_run_18,population_run_19,population_run_20,ca2mean_run_20,ca2mean_run_19,ca2mean_run_18,ca2mean_run_17,ca2mean_run_16,ca2mean_run_15,ca2mean_run_14,ca2mean_run_13,ca2mean_run_12,ca2mean_run_11,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
16,18,12,33,33,48,15,23,47,32,35,24,35,28,43,75,52,16,74,14,41,8.550292218018344,5.57240754114377,33.62480174001285,2.3375297604211456,21.0612520410115,12.719188891198703,12.972600588899835,7.759318392733481,30.873863195288,2.497083015276491,19.649143447665576,16.543830259254296,14.768658374264463,-0.5629009370939546,1.9980087232747108,5.7047434675120074,1.7147261540810603,3.2766056089280955,-0.7035334235153372,6.627821869763988
17,17,15,32,33,48,15,22,48,33,38,26,36,30,43,75,56,16,75,16,41,8.596996582002399,5.791181814926424,33.504137622077806,2.4020005260671957,21.089496343508664,12.430405908404394,13.047542902934202,7.484784503915734,31.38834014523016,2.568286274375069,19.806076009041583,16.624854022140994,14.34787137908495,-0.5666902019901313,2.010018693015482,5.723504870593226,1.7183799244858755,3.364847219148141,-0.705179646436143,6.840774643768803
18,19,14,32,33,48,15,24,49,33,37,25,36,30,45,76,56,14,75,18,42,8.664970810033507,5.611601268940727,33.797152401288514,2.4329365631564945,21.09335192533822,12.41959470810588,13.167760501780146,7.61819726912307,30.59769324013314,2.626091923472071,19.94585052011183,16.56161141182503,14.463308983915564,-0.5688637461292256,1.9928775940009127,5.733849347384505,1.7206207045984334,3.377164402214945,-0.7032737362390514,6.949873553457982
19,20,13,34,35,49,15,23,50,34,36,26,38,31,45,77,55,15,78,18,44,8.730159651029304,5.723116165793911,33.70782752548568,2.4442876651981704,20.561528583262056,12.534887901504405,13.002308342005113,7.66980684824024,30.45909839789246,2.732589841473082,20.034652370685937,16.744997019421657,14.556111912461954,-0.5639604119161113,2.0249766376786376,5.770765860897801,1.7192677308016295,3.409953010297546,-0.7069729746477335,6.957466035466547
20,21,14,34,35,49,15,22,52,36,36,30,40,33,44,78,56,16,79,19,45,8.793411321775112,5.787569114276434,33.93898327674943,2.480534580723188,20.49541895989332,12.598664341847606,12.903396275310689,7.21085399069788,30.89421858302253,2.8302045509823643,19.122360578995618,16.75780131892731,14.303696980494163,-0.4916523219495259,2.0063345995677997,5.776227129893958,1.727350108272406,3.419404136493676,-0.6937104307800537,6.338331133152915
21,21,15,33,36,50,15,22,52,38,35,28,42,33,45,80,54,18,80,19,46,8.733103676788767,5.792877427358581,33.45017731386632,2.519884547657952,20.22370264123968,12.683673230864146,13.067135521847092,7.345711787312665,31.22932740885923,2.803194258423839,19.21708701417426,16.909003845530815,14.432609798128574,-0.4754920643326462,2.0347289570339524,5.796393541421871,1.710066518406723,3.405148356653865,-0.7017471078528957,6.548766132328535
22,21,15,32,38,50,15,21,52,39,39,28,43,33,47,82,56,18,81,19,46,8.615662392444886,5.911690262693867,33.532670800214596,2.440869910391002,20.41313725718265,12.727319065593933,12.87667740378979,7.41485317002266,31.117960812563492,2.8196672505057503,19.094982272101273,16.811803315636404,14.303911758839355,-0.47217157280910843,2.0428503592534684,5.80211780882251,1.7330408301548508,3.429238029821348,-0.6968563235515137,6.639440731339653
23,22,14,31,38,48,15,21,56,41,40,28,44,33,48,84,56,19,82,19,45,8.67735732825326,5.907534814764718,33.7366095016811,2.521563644645649,20.0799267719666,12.616766777766742,12.884517530547337,7.431281789798005,30.836896126187867,2.8589325720567587,19.204645268310596,16.638140025455375,14.335381839756641,-0.4624374026911243,2.0431195404018445,5.806424557220568,1.7181708496930326,3.2947037985951693,-0.6873750573603811,6.699787296705276
24,23,16,32,38,48,15,22,58,44,40,28,44,33,48,84,56,20,84,19,45,8.677514812903475,6.040018194792079,33.84895205160731,2.5654843759653323,20.32565392100891,12.672057775403438,12.975049138411672,7.4749871445663425,30.602305981157652,2.894443990687983,19.36317306371295,16.362744148161187,14.283747438891567,-0.46862876812849963,2.061419688223853,5.790726136599596,1.7207069296516624,3.327141341290583,-0.6945301252495615,6.7378208323039335
25,24,16,33,39,49,16,21,60,43,41,29,45,33,52,84,56,21,86,19,45,8.749981555960241,6.097003060969103,33.57400770318582,2.609389693964518,20.201172062675848,12.79498990710377,12.998964441155898,7.448609941032871,30.769756295592664,2.925034202839514,19.598508409554277,16.626512358692143,14.57047525658808,-0.45884631231983786,2.084760267739012,5.739128094068923,1.7239983296314128,3.308573344924202,-0.6870956191221366,6.490209037017059
26,23,17,32,39,51,16,21,59,43,40,29,47,33,51,85,57,21,84,20,47,8.774358812337386,5.928407203943912,33.70682407746294,2.6504057550513567,20.186463202569914,12.87786720936692,13.096402424531329,7.304124635227701,31.03086031992288,2.9538261376561854,19.17924481321202,16.633776973342684,14.424436805793736,-0.3992400472489126,2.1086827603393035,5.7962742219439205,1.730351171768814,3.3269433931610792,-0.6935881231238926,6.613384593125392
