time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,population_run_11,population_run_12,population_run_13,population_run_14,population_run_15,population_run_16,population_run_17,population_run_18,population_run_19,population_run_20,ca2mean_run_20,ca2mean_run_19,ca2mean_run_18,ca2mean_run_17,ca2mean_run_16,ca2mean_run_15,ca2mean_run_14,ca2mean_run_13,ca2mean_run_12,ca2mean_run_11,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
13,86,61,44,52,33,67,40,32,47,25,46,38,30,29,28,17,30,14,29,32,-1494.5778417700424,-1401.351677415202,-1327.1144631179463,-1237.7025377210903,-1181.6602238173186,-1101.0284705612144,-1006.0848529815637,-937.9798354035386,-839.7735037222951,-773.0568511107389,-707.123042214089,-607.8050777333831,-524.2613927681027,-440.8408453207332,-379.96837181583095,-303.9105439255361,-220.9716514141928,-150.8457733163191,-57.94368624763195,14.873098014639654
14,88,64,45,53,33,69,43,32,48,26,48,37,30,29,28,17,29,14,31,32,-1494.7864939973954,-1400.6203579270523,-1326.7217798835734,-1237.504740482116,-1181.7562697575088,-1101.0161115615758,-1006.2522397341811,-937.735148457294,-840.2538482286091,-772.686675853528,-707.1064290676579,-607.6291141317404,-526.6989633558028,-440.73478288348747,-380.2851501296479,-303.6965744699147,-221.37041832199296,-150.86361821354964,-57.32833858479067,15.059051538133419
15,88,66,46,52,35,64,44,34,47,25,49,39,32,30,30,17,29,16,32,31,-1494.7712280950689,-1400.2329841628184,-1325.568858208732,-1237.4526073042402,-1181.7146880753764,-1101.105466013654,-1005.3749803328925,-937.4108279307043,-840.4269262311702,-773.0150397541167,-707.0852874884166,-607.3333308022319,-525.9263983656357,-440.64298782003243,-380.178779308622,-303.66393628310357,-221.347914306244,-150.80394708680208,-57.454998996991016,14.825178105250389
16,91,73,48,55,35,67,44,36,49,25,52,39,31,31,32,17,33,16,31,33,-1494.7036402502265,-1399.8709862144672,-1325.4665188810854,-1238.4623607517642,-1181.8589893949993,-1100.9440225544668,-1005.955880163711,-937.5598747414484,-840.113573110325,-772.9774686418475,-707.0595401435462,-608.5349008787956,-525.5053830198779,-440.57664768413684,-380.77963740236544,-303.8529028051773,-221.2441598503796,-150.66639729517314,-57.550740317338516,14.681500346760219
17,93,73,49,59,38,70,44,36,50,25,54,40,31,30,32,18,33,20,32,33,-1494.7093742076217,-1399.675316706036,-1326.4700052621347,-1238.5111566873586,-1181.79477198103,-1100.8610341111817,-1005.6786506383088,-937.3412954201917,-840.0945324623326,-772.437305047142,-707.0683854046969,-608.719571684822,-525.2183471081919,-440.80449567470635,-380.6712538698018,-304.16854950100384,-221.26387347177695,-150.74049545781688,-57.502197113238914,14.78631185093535
18,93,75,51,60,38,68,43,36,52,26,55,40,32,33,33,20,33,23,31,35,-1494.6457561510974,-1399.7000325690149,-1326.074462868401,-1238.4578191241753,-1181.7144094352573,-1100.761797426087,-1005.3659324757192,-937.1772649798021,-840.5522744128606,-772.5319110171135,-707.0406940926931,-609.308165959303,-525.0644155800079,-441.5116869951956,-380.7354853494622,-304.0697835925094,-221.14250898415727,-150.61483801299067,-57.408570340259686,14.676957431551488
19,97,74,50,62,40,69,44,39,53,27,54,41,33,33,33,21,33,23,32,35,-1494.538016839042,-1399.8966510812897,-1325.7288591098732,-1238.384143724643,-1181.6582127092856,-1100.8115559950354,-1005.8018598437787,-937.1155032795045,-840.4214788709564,-772.4963742242969,-706.9728068042771,-609.0274498269824,-525.7933203650842,-443.35683886625867,-380.744527540808,-303.81697913510305,-221.5769718221642,-150.5554175776255,-57.24891506523949,14.770445712223921
20,97,77,51,64,40,68,46,41,54,26,57,42,36,34,31,21,33,23,32,37,-1494.4876887087291,-1400.5758495593132,-1325.0872835578414,-1238.2848411535754,-1181.6236214280366,-1100.9354660577128,-1005.5177266714379,-937.3564453150541,-840.3907385910062,-772.663123654997,-706.923385902132,-608.7648957468688,-526.1080717321328,-442.4231091465549,-380.87134432991195,-303.6790298580034,-221.29033081817073,-150.53542984090535,-57.43291283632024,14.718193535782666
21,95,80,50,64,40,68,47,42,57,27,57,43,38,35,33,21,34,24,34,38,-1494.398042761047,-1401.9068562332184,-1325.8545676711858,-1238.3130645868891,-1181.5896920639887,-1100.9291848042662,-1005.8398611554692,-937.434324420156,-840.5601118874529,-772.8628736580852,-706.9073053169237,-609.2033743092685,-525.8615091599256,-442.0540337572641,-380.7111247494562,-303.6091359425485,-221.24910574985756,-150.55881979986307,-57.237023403718034,14.71727203091947
22,98,80,49,67,43,68,47,41,57,28,58,45,37,37,33,21,35,24,35,37,-1494.3960260654992,-1401.127542794112,-1325.4325816277021,-1238.6791358916025,-1181.573303913575,-1100.7908771675993,-1005.715378119823,-937.326379312046,-840.3439337466167,-772.7812242698117,-706.8343605224459,-608.8257145085026,-526.1934020452646,-442.21713986465534,-380.5603137424272,-303.78230673629974,-221.2004545004729,-150.5146741301333,-57.21409858936694,14.78695022559386
