time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
34,3064,3116,3103,3797,2614,2999,2894,3204,3320,565.3027147436522,-3772.9309351965658,889.7811898267184,-588.1829415883519,2092.047470704828,690.1483873972181,-575.0592491130725,-404.98752264958057,-1984.7317539969117
35,3641,3614,3543,4285,3110,3540,3390,3781,3789,757.3208962274867,-5003.973064205582,1170.8491292461874,-783.4084181244535,2790.844393999965,917.4566196523099,-759.79525961731,-507.6236592694771,-2631.0599295810794
36,4029,4025,3943,4637,3533,3903,3780,4130,4165,909.4599365492573,-6082.109930601585,1400.7366148975655,-933.6594506036275,3354.795545725859,1108.88432376553,-903.3312252973037,-610.9590663922014,-3195.752751724492
37,4311,4280,4209,4880,3838,4211,4118,4382,4460,1028.623899143774,-6784.82252840855,1584.2113174579283,-1059.2279180165071,3785.9383672175763,1247.3583499390982,-1029.284915930944,-702.9546299179801,-3638.9800262761833
38,4526,4482,4383,5068,4044,4383,4338,4595,4642,1112.5323262552374,-7234.972735955245,1679.039318356267,-1144.305789894262,4071.1566552588315,1339.6677556117575,-1102.8353304110517,-720.848023701071,-3863.5613066813435
39,4702,4643,4535,5192,4204,4498,4484,4700,4765,1148.1191738581176,-7438.462489320428,1729.4253134161459,-1158.6504413094983,4159.0571215337495,1378.8230394588243,-1134.9440763635107,-752.2822745668204,-3968.307042014973
40,4792,4741,4576,5274,4301,4665,4578,4812,4839,1126.4358810239248,-7398.9849611622085,1686.7788937405792,-1155.8665754387605,4121.334451277247,1357.8479728867562,-1139.2446226908435,-770.6564551756205,-3901.625874009587
41,4807,4798,4620,5266,4351,4643,4605,4847,4871,1063.2467454421756,-6932.01409550987,1604.506020338538,-1093.0426127794242,3885.7372785308803,1291.527922240492,-1080.5108325321667,-762.5974360662972,-3697.775217346413
42,4750,4711,4564,5201,4296,4619,4543,4754,4813,974.4051719443354,-6322.285030024158,1443.9390723450658,-986.3324174304194,3466.3863435649105,1171.168471025818,-959.6921495956437,-687.0513271641006,-3357.76587854834
43,4556,4561,4442,5073,4138,4459,4420,4647,4682,833.7232220176804,-5434.965634667534,1228.3105107553379,-841.2415841636195,2978.0794560841778,1004.7179830344672,-815.7228117605068,-583.0405344451549,-2897.5214036348043
44,4272,4289,4195,4766,3847,4161,4170,4382,4434,651.0351278159847,-4309.222973419729,964.4947863629956,-670.3057870368934,2342.8986728065165,799.212222314517,-649.1504796809586,-472.40499866742334,-2270.49999186397
45,3778,3763,3744,4246,3327,3683,3705,3854,3930,459.8626999516664,-3040.5329460728203,678.2827660668167,-467.2266660385434,1662.9328900438538,562.7668892396944,-460.0837154898924,-342.84131950616654,-1604.3534271011315
46,2792,2845,2816,3239,2409,2757,2694,2912,2970,250.42814330763403,-1644.1981832230247,365.6287655234249,-251.85889841389874,903.13525020494,301.8268402546967,-246.85605070350738,-186.2172936126297,-868.057451953905
47,151,257,246,393,159,198,152,210,376,27.749284588960506,-181.43308187552685,40.43901698037378,-27.705721667776814,100.66512910241116,33.40054371725086,-27.291939208899382,-20.826040613588805,-96.54529337354536
48,2551,2582,2486,2858,2109,2554,2467,2563,2698,-191.91414334237209,1261.7288796929138,-282.80657275082496,191.9710375557967,-701.4875684432136,-235.78873306812966,190.39805021467177,147.22342734649342,662.941996358556
49,3856,3914,3766,4160,3400,3833,3818,3798,3993,-396.1960451925195,2646.198269501711,-588.6481638967803,404.15142869748024,-1465.5195959299056,-496.2025820341801,399.87351825559074,316.70580311506274,1401.6461326083624
50,4614,4690,4487,4860,4182,4496,4554,4544,4761,-592.2271298559938,3901.6881734065614,-871.1861108552246,601.1705826725685,-2140.832646667777,-739.527909523217,588.4180271373033,452.3501013305293,2072.211849443136
51,5124,5068,4903,5283,4744,4995,5085,5003,5149,-761.5103906319166,4983.486818651779,-1101.183559332147,774.9219879965012,-2773.3362716959446,-945.7963039454053,750.6940846889308,595.3119258336712,2614.803484301486
52,5535,5354,5157,5560,5074,5349,5407,5284,5405,-891.4501562581339,5909.3487604328175,-1301.7155141183175,898.3196423656815,-3257.785553635478,-1112.6755819521427,880.5885987158252,719.8150122942033,3097.340399131529
53,5724,5577,5343,5772,5282,5518,5623,5491,5633,-987.4839147766726,6596.097536789039,-1444.7191789204542,988.2881482971537,-3626.646985175566,-1236.0714214452173,991.6032405870135,814.571148529113,3417.9328776711263
54,5885,5721,5493,5897,5387,5654,5771,5648,5755,-1056.000848448472,7007.266829841539,-1530.509598069737,1047.195611194528,-3845.330997575105,-1310.636372606784,1053.6463521175476,865.371451806791,3596.320805225209
55,5936,5765,5518,5933,5494,5740,5887,5741,5861,-1054.8769535388517,7068.560480766146,-1541.0911428866268,1072.0063304726234,-3923.510927493035,-1340.2038717398334,1064.1758332924906,894.5377483388631,3647.064231367611
56,5942,5772,5502,5882,5546,5775,5910,5743,5874,-1025.6173702923463,6909.138179296323,-1504.8434212456386,1040.8916372922504,-3840.220830538412,-1318.339080025073,1021.1668161034162,879.892350945449,3573.8140685057097
57,5873,5737,5400,5792,5490,5777,5902,5677,5830,-968.7463157685299,6473.1039898312065,-1410.1380095964907,975.1993036626569,-3608.905957920203,-1246.1901872195572,951.3325104464108,830.3236601207736,3351.5302432676162
58,5747,5605,5274,5564,5339,5639,5763,5591,5702,-849.5253224285626,5780.640372175536,-1260.8076190811407,863.0193050884435,-3212.7204030579255,-1118.1761552541745,844.8362836693804,748.2151477578578,2995.8431627907303
59,5431,5343,5025,5355,5115,5387,5551,5376,5422,-709.8904227130514,4836.289555863702,-1065.0499948629717,732.5480406481282,-2704.0645123475256,-942.5430566036433,708.4352369564358,638.5038795929361,2506.443366989773
60,5046,4993,4629,4997,4767,4904,5157,4970,5019,-545.5812825420409,3757.9331079820427,-821.9217977354094,564.5657335925171,-2064.561518398767,-729.6452879284669,552.5960646936255,500.6047544202449,1930.4788373787912
61,4297,4256,4004,4359,4041,4240,4428,4258,4377,-363.95708689995394,2481.6922136127623,-549.0481171939022,373.8225317657504,-1377.1745048036792,-488.64409182696295,370.3132464746183,334.17498016613024,1295.591038295867
62,2852,2837,2733,3075,2593,2897,2946,2962,3117,-166.44840608705704,1143.8582428571476,-249.7871700182853,170.1893146482849,-632.2137823286987,-226.6185857514635,166.6916625650288,154.87104095093449,597.9691611155563
63,456,604,523,746,420,539,455,572,774,33.82122036523091,-231.73276533636113,50.47987545559666,-34.4254834200329,128.4414282378672,46.096903798304744,-33.81051188845442,-31.531149171949664,-119.39659695567522
64,3654,3345,3398,3670,3339,3393,3649,3605,3581,235.66226309532254,-1589.515822942595,346.9517344753117,-236.66747496501773,884.2452260886508,316.72994816545184,-232.94783579897612,-216.80840578479447,-824.1313193894141
65,4893,4492,4435,4716,4495,4533,4752,4692,4673,425.78008980411136,-2873.7208604026137,627.8100424910135,-428.878563583034,1609.2181620229408,575.7412387937899,-423.34700154841175,-391.9559854295065,-1486.3758256761432
66,5519,5125,5013,5277,5119,5184,5326,5316,5213,601.6076883641143,-4008.2745568459923,879.6042578046837,-602.4238968097706,2238.574784212481,811.9998247578962,-591.6777631047719,-555.5396104653879,-2089.756572041337
67,5891,5461,5405,5608,5524,5655,5747,5635,5631,753.6760192080787,-5030.508691328815,1098.8657959776783,-747.8924933594507,2790.444547015731,1013.1607565783269,-743.4524533790615,-693.2638700562708,-2598.5064689674796
68,6103,5678,5650,5780,5796,5850,6023,5901,5902,882.8912040863287,-5860.467499217087,1286.6138816681325,-860.7724280743681,3215.729227140697,1178.8642405238386,-865.4916974531343,-817.7143483575248,-3026.1472253793672
69,6236,5783,5869,5940,5894,6020,6097,6015,6062,974.2446503320161,-6436.03474897081,1420.852295241186,-953.8732412175323,3524.5320822701588,1288.3745011560316,-925.0729823409325,-913.6170440434975,-3308.746356694577
70,6331,5803,5957,6041,5998,6089,6121,6123,6136,1028.8872835596262,-6730.338973257321,1483.0074317158576,-990.4544902841561,3707.1119443279094,1352.989224113716,-971.607609902573,-974.4566093201857,-3446.6305188521774
71,6301,5828,5972,6080,6020,6151,6163,6190,6161,1036.056374147972,-6758.207578331407,1491.5860250832538,-995.8389108412792,3704.8413145004797,1357.5464953596638,-989.2112352965718,-980.3889511875954,-3468.3059054615314
72,6200,5833,5903,6044,5946,6136,6154,6170,6087,1000.4536041654777,-6507.390716258023,1434.189296081116,-952.0805987003243,3578.3524244674636,1308.8017616301127,-950.8704425828871,-951.4457868951079,-3352.3167465398737
73,6077,5738,5777,5881,5924,6071,6005,6025,5931,919.1516082403552,-6032.59583994858,1334.142111946432,-875.3555327499777,3310.9496566318426,1205.5300974369152,-876.0107484016079,-881.5001751868646,-3095.781650445689
74,5918,5607,5499,5690,5732,5851,5788,5812,5678,807.7337604269376,-5277.896654004643,1178.6501408793963,-768.6387001906427,2895.6417262164155,1059.676552855519,-778.1456561407545,-761.679144993464,-2721.526074789486
75,5674,5280,5094,5381,5422,5525,5501,5471,5330,665.6591693638414,-4329.758004453959,971.7289816030661,-641.2655382175049,2376.5231426395017,872.3356679499325,-647.3716211185802,-618.2672184974623,-2248.422319604775
76,5217,4776,4538,4955,4885,4988,5060,4927,4801,500.1118710092142,-3233.9492756936716,725.1312800145048,-480.6545494802094,1775.6886323006465,653.5054343987734,-485.7457682755946,-460.77692456246797,-1674.8212483334496
77,4273,3907,3723,4144,4053,4111,4155,4097,4070,315.65700452565915,-2020.2066943664656,452.95264627231126,-296.8124796997356,1106.4392946284984,406.2749756959511,-302.89011229102294,-286.1654532470161,-1041.0715786638968
78,2290,2110,2143,2413,2249,2240,2294,2317,2420,112.98191747945826,-714.5850402632148,159.0868796932882,-103.90349025374502,393.818998178755,144.34608877252003,-108.09037726351734,-101.6905679019243,-370.2535648436393
79,2034,1935,1907,2101,1995,1985,2062,1980,2207,-96.20160070620291,610.0356385140035,-136.4109195678926,87.99761100704241,-332.17838470517125,-122.99736518189387,92.52794878989228,87.0506834405982,314.13329748808553
80,4153,3740,3658,3989,3973,3887,4063,3836,4019,-299.7229737143746,1911.262683028446,-424.87867686459396,277.9080251669506,-1039.8818518204334,-382.3333320105398,286.9953546657799,278.589765042482,984.2445592753493
81,5017,4538,4357,4664,4888,4592,4812,4612,4783,-491.17442989687885,3135.7298044686286,-695.1082716326804,460.99649587866145,-1708.2624925164505,-626.0828106613468,466.71521049004116,459.87150823916903,1617.239162952937
82,5451,4914,4831,5090,5392,5100,5239,5086,5138,-665.6283668500818,4239.6707686325135,-933.710773713195,623.8937791574832,-2301.0043158611766,-842.3084574320164,630.8808339502597,614.514999140413,2186.874897533241
83,5736,5234,5090,5334,5690,5304,5463,5382,5388,-804.0420456891242,5155.194409006773,-1147.0422741483324,761.4838010357155,-2784.2223890827636,-1021.4022142497944,764.7868125194043,741.0609676540729,2671.626557122882
84,5824,5429,5284,5474,5842,5463,5633,5550,5534,-910.926484954125,5830.998030867167,-1306.7164324387434,869.7265313317747,-3174.9846908110044,-1172.4023259109351,866.2272567995863,837.9323447256987,3040.310556322831
85,5850,5532,5345,5556,5954,5584,5738,5599,5541,-986.0895771719004,6343.188921719691,-1426.0485553860685,944.8863875049927,-3428.21859000067,-1263.5255227354294,935.87542349798,907.5572934416512,3284.4506320976457
