time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,population_run_11,population_run_12,population_run_13,population_run_14,population_run_15,ca2mean_run_15,ca2mean_run_14,ca2mean_run_13,ca2mean_run_12,ca2mean_run_11,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
18,25,15,9,61,13,31,20,9,20,23,64,14,28,20,27,-1.1359409275410295,3.4514198877338695,-2.964681811865878,0.8539519996256786,2.7657375260378783,0.44129904044734886,-1.5274374643380197,-2.2448025282334387,7.390332995226037,2.644409117870685,0.3638037545063654,3.5723533203185562,-0.6859232458297929,-3.687572957081704,4.9201799501936145
19,27,16,9,63,13,31,22,9,22,23,64,15,29,22,28,-1.0764023137285934,3.504167667276433,-2.9811588789893437,0.9011595059843686,2.7861871908139624,0.46686340753437705,-1.5098498519806058,-2.1321293481174477,7.46553124911681,2.62935174708011,0.36111075175678975,3.5643094903017984,-0.6853206465869031,-3.5834774552921984,5.05372847539282
20,27,17,10,65,14,32,22,10,22,24,65,14,29,23,30,-1.105271944620896,3.5298049216481173,-3.0100165233225833,0.9377294562692892,2.4885020232095925,0.4641551752208616,-1.5123609861316611,-2.167237198372486,7.491341867325944,2.642588497088557,0.3587360308241296,3.5874895867070298,-0.6773017172334742,-3.577569280887863,5.0415780542365
21,27,17,10,63,14,31,22,10,23,25,66,14,30,24,30,-1.107009568652772,3.4436288153457353,-2.7758141330539354,0.8947975166424706,2.580411908862841,0.454672663777828,-1.5021899601946838,-2.161809947950878,7.49878118563128,2.627092708754437,0.36058839416389676,3.605969588389879,-0.6737046114524088,-3.637955838222781,4.917080119099887
22,27,17,11,64,13,31,24,11,27,25,67,16,32,26,30,-1.0634469969534854,3.472174925819971,-2.837646956754839,0.9083196066904011,2.5918305531928874,0.455837948682143,-1.4879679062988453,-2.101169078284142,7.441420521894028,2.6478247751075044,0.36059237816089695,3.6550890691530658,-0.6796984244849685,-3.65966818036662,4.9300066466147365
23,27,18,12,66,16,32,24,12,28,24,68,18,33,27,31,-1.0798748124058324,3.419553670518834,-2.8401127198342695,0.8283688969748721,2.592094744451259,0.45340956773018765,-1.4967996858367523,-2.018917464154561,7.460625000339162,2.656588239490123,0.3448313810510741,3.573270355060771,-0.6744936936494343,-3.660459539537651,4.836876351675478
24,27,18,12,65,16,32,22,14,29,25,69,17,35,30,32,-1.0720429376990115,3.4649280580200603,-2.8365180681426785,0.8363213369798304,2.533355128031353,0.4659949021316095,-1.5192983228606864,-1.9552618437039624,7.291797160487217,2.6720471772322556,0.34743518344372315,3.622586496929081,-0.6745836127992739,-3.57686411206083,4.888325575951556
25,27,19,12,65,14,31,25,15,28,25,69,17,34,35,33,-1.0734381043044452,3.350650417344549,-2.847952861398228,0.8312958475913504,2.5393649311698967,0.4700544061882913,-1.521957087406615,-1.890899767032427,7.1273212934786665,2.669566255587866,0.329523646180086,3.6477212608862954,-0.6562126781362679,-3.598385787707958,4.711976995138412
26,28,20,12,65,15,30,25,15,28,26,69,18,32,34,34,-1.0446625396396585,3.391188301636024,-2.8800593897391744,0.8240933587860009,2.508176172041095,0.4661440479150003,-1.499038073222389,-1.867166033734745,7.365074636260997,2.63544166021725,0.33519623143200045,3.6444117087562633,-0.6573370203471555,-3.6053365415893017,4.807010633287365
27,28,21,11,64,15,30,26,16,28,26,70,18,34,34,34,-1.046165158126378,3.342201574211279,-2.8518155317824663,0.7680190747583534,2.508125173081131,0.469326975117942,-1.4758851692622388,-1.8609623155852408,7.342524300569361,2.568790292989387,0.33585502813354184,3.620561809426619,-0.6614517137572862,-3.6216056620122634,4.82460786791264
