time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,population_run_11,population_run_12,population_run_13,population_run_14,population_run_15,ca2mean_run_15,ca2mean_run_14,ca2mean_run_13,ca2mean_run_12,ca2mean_run_11,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
71,40,29,11,69,21,45,33,22,41,23,78,14,39,47,45,-0.8074158884666074,2.9546159824693405,-2.2060240892926046,-0.1747748010450126,2.3676220913266506,0.5482487224114373,-1.174791140309608,-1.0194190602165583,7.166767134109496,2.163163033343468,0.3302881796519823,3.04418812536066,-0.49881154939975897,-2.9785819100895683,4.146288221494216
72,41,29,11,68,22,45,34,21,41,23,77,13,39,47,46,-0.8093820857755668,2.946397054986357,-2.1929852159728185,-0.17123732961145968,2.3761493702082244,0.5467674264372546,-1.177209170314382,-1.0115190891188979,7.165412124602214,2.1620806623297004,0.33236372564544187,3.039024029126216,-0.4893666420025057,-2.973983352548023,4.13192183281464
73,42,29,11,67,22,44,35,21,41,23,78,13,39,48,46,-0.8076376252989967,2.939321886768193,-2.192941885744955,-0.1606376460269798,2.3607903854135555,0.5418534142677892,-1.1743464813983835,-1.0100064592475007,7.1400214096822365,2.1333309792082966,0.33591573050541323,3.0420738619508545,-0.48513743667858356,-2.9683349317703054,4.1010006414799385
74,42,29,12,67,23,44,36,21,42,23,78,13,39,48,46,-0.8005443179257644,2.9389809455026445,-2.1838087924416376,-0.17322788410008494,2.369270526846232,0.540873923413484,-1.1800067486218633,-0.998367071350832,7.144485295855588,2.131677500907275,0.33435301171352094,3.0223239321585966,-0.48456935496133546,-2.95583834596541,4.095932465763311
75,43,29,12,66,22,43,37,21,42,23,79,13,38,49,49,-0.7938025707980385,2.9412214810079003,-2.1836843544856874,-0.1733083932701339,2.3566398445807004,0.5414222551668295,-1.1671733980968992,-1.0010249501197956,7.15796253878266,2.1313989694488615,0.3357340292567578,3.0179688265712636,-0.4824071273074939,-2.951438021434505,4.086368885579639
76,43,30,12,66,22,42,37,21,41,23,78,13,38,49,49,-0.7971768878829468,2.9291404953622115,-2.180203079244339,-0.17547095635957505,2.3571768940876567,0.5518331938177632,-1.1645106294796763,-1.0015017764470246,7.15086385870655,2.1280778926339,0.33805272214977683,3.015248226748448,-0.48502566825053256,-2.937671287838517,4.092581952407091
77,44,30,12,65,24,44,38,21,43,23,78,13,38,49,48,-0.7936598449185122,2.9326859635050053,-2.171805441150821,-0.1701127309678963,2.3643188089066896,0.5518797632502805,-1.1671844924691024,-0.9983892473901378,7.115940200289408,2.123862002021663,0.3393672560899581,3.004952710366531,-0.47507919593332143,-2.939460756409291,4.078280663784063
78,45,30,12,64,23,44,38,21,43,23,77,13,38,49,48,-0.7916976204044425,2.930731661050564,-2.1546477203175467,-0.17793814588155418,2.375006509710605,0.551501489799634,-1.1569652267731632,-0.996302587779416,7.11892932066055,2.1391535443399725,0.34066520930304645,3.0091249467649828,-0.46910127635223503,-2.915902585220655,4.079627733145067
79,46,30,12,64,23,44,38,21,43,23,77,13,38,50,48,-0.7863084416863169,2.926851076824794,-2.1534651125900615,-0.17931031119843102,2.381073977676582,0.5552273821941176,-1.1392328623884216,-0.9958563581989041,7.121101207840557,2.1507702518644427,0.3417768986092636,3.006738282025238,-0.4678007689363295,-2.890990619493386,4.070561556333761
80,45,30,11,65,23,47,39,21,44,23,76,13,38,51,48,-0.7781188460587501,2.9220533984479324,-2.1499496932630167,-0.185736143784893,2.396929858417084,0.5459464162902855,-1.1240664340690956,-0.995188997159386,7.224749763922528,2.1409895072726903,0.34330023444524105,3.0041617650335692,-0.46821904602835906,-2.8905131425233956,4.068742553310416
81,46,31,11,65,22,47,39,20,44,23,78,13,38,53,47,-0.7754054355127061,2.91679682052958,-2.1526839449229267,-0.18958725434593904,2.3904653727034044,0.5452957220406026,-1.1267186255852801,-0.9778525608072921,7.223080095111385,2.1411827569996422,0.34265057179939923,2.987585531499761,-0.466478147074754,-2.8747008683593,4.07513685160087
82,46,31,11,65,22,47,39,20,44,24,79,13,38,53,47,-0.7712900039987849,2.9167584544523044,-2.1404305068783738,-0.19883556407852537,2.386409133060729,0.5547852504005203,-1.1226660799774724,-0.9768470917339465,7.218330517947601,2.1419842395643465,0.3423340610443838,2.9670794468975976,-0.4596997737496736,-2.8537719110080144,4.075494872842051
83,45,30,11,64,23,46,39,20,45,24,79,13,37,55,47,-0.7668494917143118,2.913277861144569,-2.127587206269378,-0.20510528349920512,2.3783068985894156,0.555499241044265,-1.1124320180763183,-0.9751180294160573,7.2517267315214005,2.1409667943818826,0.34002352719095746,2.956511083469474,-0.45260043297886343,-2.847359383687626,4.057387598723038
84,45,30,11,65,22,47,41,20,45,24,78,13,37,55,48,-0.766231799362379,2.906079309299314,-2.1135468791301784,-0.2329264321376753,2.3808468006631416,0.5586973069816918,-1.110479002485553,-0.9619008884019464,7.2480371849595375,2.123938295465871,0.3455021254564824,2.9661339080019364,-0.44760335350569413,-2.8361732278895513,4.055425434800267
85,44,30,11,65,22,47,42,20,45,24,78,13,39,56,47,-0.7655457764023508,2.912984047913365,-2.1005089559109567,-0.23345258103674804,2.387177267239496,0.5589377701528719,-1.1098424150040995,-0.9552589264150608,7.245133693794169,2.129452598610717,0.34646472097549735,2.972032205821059,-0.44332513664712087,-2.8302301697182886,4.0280581912781255
86,44,30,11,66,22,49,43,20,45,25,78,13,37,54,47,-0.7616718911889016,2.916655870253015,-2.105059464066251,-0.259812397946463,2.391635271719155,0.5565098695156487,-1.1098743114468164,-0.9538968758750688,7.233113620126384,2.120665702916003,0.34709065202387174,2.9638073910478595,-0.4359533468085633,-2.822818741213536,4.024115942537966
87,45,31,11,65,22,50,43,20,45,26,77,13,37,55,46,-0.7498313084321692,2.9235342639046635,-2.092740742845458,-0.25859423503144796,2.3930765151995828,0.5601110648193746,-1.1069758855445622,-0.9491134016215905,7.22707421845107,2.1336783250193125,0.3529646039224458,2.9702517523467895,-0.4345448406498795,-2.8281329678381235,4.027458346587275
88,44,32,10,65,22,50,42,20,45,26,75,13,37,55,47,-0.7452187188918935,2.916694859080273,-2.09992357240624,-0.25507644953745484,2.3985242943217333,0.563656012613902,-1.0953073656349945,-0.9393756331064524,7.165222698511205,2.1271808130959062,0.35450510390707396,2.9701739614141496,-0.42373541666871345,-2.7884897349346507,4.033193733954345
89,45,31,9,63,22,49,42,20,46,26,73,13,37,55,47,-0.742482888339358,2.9147705531954253,-2.100018007635165,-0.2551719380156929,2.4036375595517914,0.5594425768769695,-1.0938508801378724,-0.9342893083410134,7.1637576156430995,2.134879540231208,0.3587350888810067,2.956633085284598,-0.4197651157232676,-2.79285096203136,4.041540264697182
90,45,31,9,64,22,48,41,20,46,26,73,13,40,56,47,-0.7481551106847557,2.9091229727569807,-2.0946226346575085,-0.26069098572780186,2.4108194870984607,0.5600293339602403,-1.091893063639215,-0.9268547589014808,7.155035310952786,2.1326799827597434,0.35938758142276855,2.9655377046814815,-0.41954099094010017,-2.7843543863960214,4.041201873647618
91,46,31,9,64,23,48,41,19,46,26,74,13,40,56,47,-0.7496171129369772,2.906575891235267,-2.092614430130331,-0.2682824657405429,2.3984451601590084,0.5583264917828142,-1.091948135463267,-0.9306720047963384,7.1455685083331915,2.1264175232424884,0.3624265512822933,2.9598009568143664,-0.41745886866373694,-2.7924010699564996,4.048161262176421
92,47,31,8,65,23,50,41,19,48,26,74,14,40,55,47,-0.7513068801776231,2.904292613347262,-2.087637973665485,-0.27938530983825133,2.39508781229032,0.5563500554201206,-1.084784492484517,-0.9276404184349604,7.204866282049422,2.120613823130299,0.3602282202993773,2.9495405643844395,-0.4147927772112082,-2.7879399218056644,4.03357200312527
93,48,32,8,65,23,52,41,19,48,27,74,14,40,55,47,-0.747699854272182,2.9112719956930793,-2.089370497991579,-0.2774899925829245,2.3972132707069314,0.5593223770294778,-1.0827604426288118,-0.9365540351682887,7.192469344944824,2.100912957463314,0.3607415324706613,2.930954223807557,-0.42085233814899475,-2.7979967835337947,4.03879644547755
94,48,32,8,64,22,51,42,20,48,27,73,14,40,55,47,-0.7465128293748307,2.9150248467158004,-2.081621916637877,-0.28959737162497423,2.3948543045281268,0.5560165914693342,-1.0796869610235105,-0.9336827120705661,7.212042762698613,2.1108799453054328,0.3618430989621176,2.931132869475551,-0.4225814512907446,-2.792033558838509,4.029693543651591
95,46,31,8,64,22,51,43,19,48,27,75,14,39,55,47,-0.7275064908482922,2.916914442260292,-2.078903205829568,-0.28530397257060086,2.396992443049414,0.5583422676731121,-1.0801977472792492,-0.9207250755733947,7.229376976062304,2.0966285541285763,0.35827671743635964,2.937455998315687,-0.4244699175150124,-2.8031513990892183,4.014001472035837
96,47,31,8,65,22,52,44,19,48,27,74,14,39,55,47,-0.7241509441711935,2.9109429518098326,-2.0762260184500865,-0.2897068378526407,2.401705442300885,0.5630885051905242,-1.0822502638652356,-0.9042122275644032,7.224204384954796,2.085284672186401,0.36037342288012886,2.9323799520551668,-0.42427822292843453,-2.791363826346066,3.964234229162501
97,48,31,8,64,22,52,44,19,48,27,74,14,39,56,47,-0.7252746240708577,2.908847615020616,-2.0730269611595196,-0.2941665059178378,2.401504175355244,0.5660915702288285,-1.0764001830999452,-0.8994439592684824,7.249513857602365,2.0867972326635034,0.3687371921819469,2.9383720688693056,-0.42203211805148766,-2.77593388195679,3.9857816867388163
98,47,31,8,65,22,52,44,18,48,27,74,14,40,54,47,-0.7265932942134694,2.9069486933638684,-2.065857760012576,-0.30761859914692713,2.3985101384202236,0.5692493686074171,-1.0727498955462218,-0.8999868059112166,7.246585075067342,2.087854875788268,0.37177802008172905,2.944517257620094,-0.4232959898252509,-2.7709028757902274,3.9909822782421536
99,48,32,7,65,22,52,45,19,48,25,74,14,40,53,47,-0.723529260669731,2.9079099538602153,-2.036964953095183,-0.31246282503207345,2.398947978243378,0.5683977692516029,-1.0682255538322205,-0.9072121751640878,7.272397623108117,2.0904592770575143,0.3750167878484949,2.9407466200233197,-0.41688881456181454,-2.7727422486980373,4.003873695409101
