time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
17,5902,5850,5848,5705,5829,5759,5795,5789,5815,268.4831808078062,1357.224422450704,1261.6007027070546,-1166.1152344246304,132.4686789472887,-1435.4101942977484,728.2465797592007,348.41010049396704,997.897213314734
18,5856,5816,5823,5722,5838,5769,5825,5808,5783,224.79795379789803,961.1124665691428,1330.3251173962717,-1169.9758498638607,131.19047289990394,-1389.2286285618584,437.0330272942072,381.19916363844374,944.0991780079798
19,5836,5791,5828,5690,5837,5764,5784,5763,5767,176.60529731151047,892.0558283137003,1343.0862166764032,-921.8132442371157,74.5262210295563,-1405.1211950717664,251.68656707049524,319.36900221510155,484.0867671097181
20,5880,5723,5770,5670,5835,5705,5781,5768,5757,174.2639477619474,878.700115482272,1353.251215716968,-913.7873287407438,65.49128775486457,-1397.4296659417053,281.4555472059945,318.18772825892603,521.189399887005
21,5838,5735,5778,5691,5830,5738,5753,5756,5752,103.70532734672328,864.6655103871451,1338.113059937737,-854.1276152911554,98.58924975887786,-1210.3685274754073,308.398307375107,354.74954617802706,354.6820605075927
22,5837,5751,5798,5692,5849,5735,5797,5735,5767,78.4077721793953,838.7938246692948,744.3178578362265,-804.7215399867081,147.88929618973185,-1151.3014209806126,349.56513731224805,306.90095358101456,330.32849049249455
23,5837,5780,5791,5681,5820,5719,5833,5791,5804,88.41508251817243,827.1075420260349,791.3401127445054,-780.9764235150286,150.51062168445603,-1125.3370358680907,277.8087220783826,285.285825283878,308.88497279526666
24,5832,5787,5802,5703,5808,5755,5807,5810,5775,54.744842316991424,717.4274644555754,803.5081210483248,-537.9269882768176,172.03378846111505,-810.5276948153645,183.40264287654153,280.35533497395977,277.5380553688935
25,5842,5788,5756,5740,5818,5743,5806,5786,5735,7.943997177899711,709.8942099656172,578.8090997482199,-522.9371429002684,198.65044304630425,-681.3633004500629,186.3984044793427,278.78124383460425,191.89113698395664
26,5827,5798,5788,5734,5794,5762,5769,5789,5731,-7.139728966484136,677.4359552807914,284.6853595444585,-488.80088031125194,180.7452675438485,-481.77231611076195,199.13176898993387,233.97392410393647,164.60696990236136
27,5818,5825,5747,5783,5783,5773,5812,5779,5737,-29.977850907880566,558.632129010092,362.3888628380159,-323.647549483752,132.4816519883843,-472.99600792432295,224.40640721209704,190.84756930752653,169.43166628715
28,5811,5793,5766,5777,5794,5741,5812,5809,5715,-30.913436359006994,551.8793184574088,297.95411088693675,-287.4730012332167,155.02327208220825,-482.0201285296979,219.8557706742677,192.73650444395767,153.19527207958905
29,5802,5775,5751,5752,5804,5774,5801,5782,5706,-46.9149129515681,341.4153835845371,297.23998428108115,-269.57874778263135,132.83603018897978,-384.57323499651943,238.02745984621603,194.8663708638586,156.28872559753384
