time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
1,6,3,18,14,10,13,15,9,22,3,1.0092151075533178,0.6438583864815682,0.2329747405803804,2.876172519421857,-1.4486011135524035,5.041038364279459,0.06146667209628665,0.33277330448867637,3.903341732368653,0.1450596685801479
2,17,8,30,32,15,21,25,23,34,3,-0.47523571208837545,0.6147781219083378,0.37279503660508406,3.876143555787992,-4.564231961348203,8.385158957457202,-0.2436801016942109,0.13259081308531115,6.045269638662689,0.08346128042357166
3,18,15,35,40,18,33,29,58,41,5,-2.13600591282174,0.38987259141201824,0.31221435382940493,4.685530365279172,-7.7753594330275435,11.712311990498858,-0.5950872723757633,-0.11317574715578314,8.77344845088949,-0.04472918361038149
4,22,15,43,44,21,34,34,73,46,7,-3.6972916742800837,0.0764591099356065,0.8364263955392277,5.1078033527955,-9.183929434301138,14.96375775329342,-0.9212174353072158,-0.3176857376688354,10.286804978671368,-0.1803545464565591
5,23,16,47,49,25,37,37,80,55,10,-5.099001110036588,-0.1191163855960764,0.8163105548547225,5.57932185555713,-11.684533767712848,17.48608224746496,-1.1656420260057518,-0.5004750085230164,9.912262700732365,-0.30251421505840054
6,29,18,51,55,28,46,44,93,56,11,-5.022922711372872,-0.18395160761804275,0.9355692102159405,4.350713869316089,-12.839190656605448,17.845912313431548,-1.4163776255246463,-0.6517402107007524,9.828744431579098,-0.40504626863068016
7,31,22,52,58,29,47,46,99,59,13,-5.8551876286731,-0.10384502809692381,1.0059825258318502,4.178266007646877,-14.182425366627879,20.666823801067967,-1.5494119597257587,-0.6916995030850412,10.901683090209724,-0.4483151745637562
8,32,24,54,62,31,50,49,102,66,15,-6.013425945986559,-0.12085015420303809,1.0107996387923628,4.099624771396899,-14.752542702343284,21.2062704078124,-1.5556917367844572,-0.7247096549607982,11.316927470346098,-0.4510152079585535
9,32,25,58,72,31,54,54,100,65,15,-5.496269193321715,-0.13029081636019305,1.0541851342261823,4.261492835149997,-14.796343773049395,20.514437261375516,-1.5480016956335432,-0.6824574956412026,10.866903681512953,-0.4156810641207089
10,30,27,57,68,29,54,55,95,64,16,-5.02844044218262,0.048021259429872024,0.91541432462136,4.782737014340237,-13.94440613380138,19.28523758449709,-1.3897915315529745,-0.6063477959728504,10.478868369815219,-0.32524694657709735
11,28,27,56,65,28,48,53,86,63,18,-4.261712674337088,0.11488487218314096,0.6994803308991938,5.300917410588016,-11.65163592696965,16.14439966953823,-1.153878209246506,-0.3973607273141589,9.907785954118067,-0.21447884020038482
12,27,29,46,59,30,47,53,73,58,19,-3.0328604145153113,0.18885490468011412,0.7638184768638338,5.2044729999148185,-9.122914439989275,14.039603018076956,-0.8664119012338737,-0.26033471607853104,8.520869806716385,-0.07857846702222059
13,22,29,42,44,28,44,50,55,51,22,-1.651575895820558,0.37194336506713976,0.7663661785860759,4.504653503623811,-6.598983144888755,11.045333504693419,-0.5062413025447552,-0.02599149774948524,7.284777759429538,0.06260921694144629
14,18,28,27,25,26,36,44,32,38,26,-0.018401299385560885,0.542442479168145,0.7747440470386817,3.7681752450114843,-3.550092869799403,7.8798063947704415,-0.16659782379884644,0.1963943198729017,5.763960147475338,0.19033600407704754
15,14,24,17,14,20,23,37,18,23,22,1.6562550466105703,0.6525902231991771,0.7297754058827648,2.692430936393959,-0.6530848734875937,4.075259251648629,0.19014090694190677,0.4057343546045975,4.029225258107349,0.29395612109291136
16,10,21,11,10,20,18,31,11,18,21,3.343042048162186,0.7636597059919595,0.6410161160749844,1.6680268819706126,2.3736033903102864,0.3223224303234653,0.5138752437852423,0.5834234328731596,2.072677669394633,0.3603790073714037
17,15,29,24,25,26,32,42,33,41,25,4.96917732622431,0.8095526845188273,0.5158135218468789,0.36485393968095176,5.211785184043941,-3.4862822134188507,0.7804967398851496,0.6825969239595419,0.27862384492955783,0.37553682097639335
18,19,31,37,38,31,43,50,44,52,28,6.518542175360107,0.737480962038868,0.38395300002364763,-0.8961879744111043,8.042683630157127,-7.1371899407627035,1.0236352057781728,0.775546181428674,-1.453629635058756,0.35553680580032515
19,24,31,44,44,35,52,52,56,61,31,7.886108293059882,0.717486042741912,0.19023288637353244,-2.4569709299106566,10.710060936378968,-10.497017311162407,1.1430104580220468,0.7887794647877143,-3.0620205186536453,0.30997066582349336
20,30,34,53,49,37,60,57,69,64,31,9.00669749241045,0.6678523006944104,-0.003072709225637664,-3.7114608150726807,12.292726375239303,-13.35720729619412,1.2650840248210737,0.8395838002357053,-4.478125287223329,0.24770156929245102
21,30,35,58,63,39,64,64,77,71,33,9.634969642904773,0.6539910781890306,-0.19425396287957863,-5.127168500650736,14.048298130640706,-15.73388356776818,1.374012927316741,0.8485052317954045,-5.60484352264803,0.17269523465979833
22,33,38,60,68,40,64,70,81,74,34,10.29146094846684,0.6555222442110564,-0.31048279763797604,-5.88082575699836,15.175218696145008,-17.440440809149344,1.3665110679044221,0.8073902751148055,-6.368144951424855,0.10402092678703226
23,35,39,63,69,40,68,72,93,75,35,10.704426307841722,0.6614675789644399,-0.38990599239736895,-6.319550843525657,15.640682654404149,-18.22988092472712,1.4103171906278036,0.8133502101972938,-6.758414008106346,0.07229641957422203
24,34,39,62,68,41,70,72,87,74,37,10.150837142934899,0.6444091768520409,-0.39558520843790707,-6.516464034121918,15.604121525958467,-18.166845390833547,1.3995180955239772,0.8116042459839733,-6.759737041875693,0.07368323943499698
25,31,40,58,67,41,69,73,82,74,37,10.135513599234736,0.6783897457488864,-0.3443613820546399,-6.045529669246657,15.027675614191564,-17.37029575828909,1.3876481355183221,0.8212429790844817,-6.4031813245412685,0.09319562265297195
26,30,41,55,62,40,64,69,74,74,38,9.659796451270001,0.6977405849686374,-0.24285474465431406,-5.349599089581789,13.770817410796289,-15.644312072047496,1.3454560746255446,0.8262436433023858,-5.720732533551093,0.14243611323540642
27,31,41,51,56,38,58,67,63,66,38,8.755337512803242,0.7209348884313852,-0.0789426221924619,-4.370564679934995,12.196573444043095,-13.418481644831598,1.2820225513852506,0.781449343523819,-4.605758101351223,0.22370444997121477
28,28,40,43,45,37,54,65,50,64,38,7.583056643032779,0.8133730037387497,0.1332501872442358,-3.0713504930734015,10.425067386942585,-10.615470157991103,1.169167424553936,0.8177540003089108,-3.23667106461315,0.2960783835889272
29,22,39,36,36,36,51,60,41,57,39,6.406694901680678,0.8497466820328299,0.3190477804383689,-1.6881298127113118,7.858525168469443,-7.385795817551947,1.008733955410238,0.7851093094631405,-1.5985738183840195,0.35851209613933993
30,18,37,29,25,32,40,55,30,44,37,4.97387302549559,0.840143218552689,0.4956080446128345,-0.24839175377679576,5.305131356588708,-3.8378682228111014,0.8043765589808379,0.720404087623678,0.10023708142392473,0.3860996941602611
31,10,29,8,8,24,22,36,13,24,32,3.40886964819438,0.7922934618571738,0.6532760932408532,1.3286818880415003,2.640067382152585,-0.11279787012989433,0.5501074598105375,0.6124937722025757,1.848538911567163,0.39465727807404255
32,8,31,9,6,21,21,38,13,26,29,1.83095235568494,0.6983667220485931,0.7707749527705733,2.938896021599553,-0.16415844912310779,3.6239881001586536,0.2566257531236306,0.4587397207430359,3.560951525371575,0.35719163967776524
33,23,39,24,25,30,37,59,28,45,35,0.29393441339530463,0.562781144596983,0.8397718302597033,4.479632635060848,-2.913150022354916,7.1763595800811775,-0.0750157070750956,0.2739694074996702,5.250643364191577,0.28074581993609743
34,30,42,34,35,35,50,71,38,56,40,-1.1917354380409957,0.408716295875087,0.853312837904591,5.82669400846417,-5.578271296804888,10.539237913959685,-0.4213077429093666,0.0690084199845871,6.815700643445512,0.1730202648329523
35,32,46,40,41,39,58,75,51,64,41,-2.5013739928184697,0.2542947290582479,0.847851137705193,6.9030790773877255,-7.787601168255405,13.421751743792525,-0.7617657163891747,-0.14940048283293395,8.135511676290362,0.05265289452175308
36,39,48,47,46,40,67,79,57,72,43,-3.6568905517230843,0.11286633030117874,0.8156459818926152,7.846305520663576,-9.664736626686649,15.923592727059768,-1.0564952781719827,-0.3457998938675724,9.209632663033002,-0.06898904481913588
37,41,50,50,50,40,68,84,66,76,44,-4.564660969565229,-0.018844819893849004,0.7664574473449931,8.678355737656231,-11.096212843760387,17.53210409897463,-1.3039620926799187,-0.5085686504699956,9.952914760268238,-0.16970677469678033
38,44,51,48,53,44,69,88,69,82,46,-5.15208729060135,-0.11634291843525975,0.7331971547717678,9.156245047780892,-12.078225660556873,18.840346528184842,-1.4528279149505756,-0.6237033376082547,10.527693079412698,-0.24390525719262704
39,45,50,49,53,42,72,87,70,82,47,-5.406094821169393,-0.18751954121971567,0.7104984417512045,9.071294561821782,-12.618414532733318,19.226112911001525,-1.5167506355487883,-0.6830531392085505,10.538124311514423,-0.27776939255429395
40,45,51,49,53,42,71,91,68,83,48,-5.223299243256905,-0.1595385118787953,0.696021051443874,8.856699129506717,-12.492241789672283,19.056151397603443,-1.5024895467225325,-0.6515657649446781,10.503901136876387,-0.25486383259838097
41,44,49,47,51,42,69,90,63,81,48,-4.74709910700375,-0.08416573493158373,0.7063458648490362,8.387959565028279,-11.693398988587106,18.110024537439728,-1.392876063861017,-0.5720431703950456,10.146767323821745,-0.19707801423249222
42,42,48,47,49,40,66,88,55,76,47,-4.0176160914618935,0.043795112408326044,0.7640495293684068,7.9095665282238485,-10.479560217488611,16.57713567324514,-1.174223873119795,-0.42543552507597715,9.504113562264608,-0.09799617299183655
43,37,47,42,44,40,64,86,50,71,48,-2.982141249473993,0.19260088323585126,0.8032840416631457,7.126458973500236,-8.676516004321584,14.385533750136668,-0.8978814116267785,-0.24418622778088353,8.413668976488768,0.018168362012466827
44,34,46,34,37,38,59,83,39,65,46,-1.7809497256391578,0.37080268002901723,0.8284166095004073,6.0948753326273835,-6.532888046898578,11.75230158436947,-0.5609861349303276,-0.03180981825624177,7.227142889159637,0.14671365520858554
45,28,43,22,25,38,49,75,31,54,42,-0.42236812754036446,0.5221838588486964,0.8325123905825331,4.866245237795253,-4.0933576644748815,8.756932797132034,-0.22264756124211513,0.18703365754233475,5.839274089002459,0.2653546602634575
46,16,40,12,12,31,30,59,23,41,37,1.0235698288778154,0.6614473902388347,0.8064077927627452,3.549394295544674,-1.506211387890964,5.405183998123969,0.12240817664784166,0.38598435035850814,4.3213034472864305,0.3602860557349001
47,0,21,0,0,13,5,11,0,3,20,2.4822466179571734,0.773662677286895,0.7439239674190143,2.1374427838540835,1.1387377876718676,1.880147650597428,0.443336866469529,0.5507943072286475,2.713556395328527,0.4237880420215577
48,13,41,11,12,31,31,51,19,31,38,3.903842128097597,0.8459173919824966,0.6356483061409085,0.7248443335143746,3.7594736966602955,-1.6845170473284692,0.7234507801898904,0.6825842615483375,1.065915840323058,0.4461593525602209
49,24,45,25,28,36,47,70,32,53,46,5.197704128406217,0.8753455187342976,0.4799933300351897,-0.6240227287718922,6.200645923144311,-5.147949923526463,0.9470026137571831,0.7624371359018874,-0.5441935296378677,0.43104962307147515
50,31,49,39,36,39,61,76,42,62,50,6.370546903470076,0.8555452653186425,0.29606648427608695,-1.9331678243229062,8.438508840588987,-8.335899637595189,1.1124361097050275,0.8218569727984971,-2.0599546334884082,0.38088673649365473
51,37,51,45,41,42,65,78,50,67,55,7.376908079260608,0.8240781548649351,0.14010676099271724,-3.0706321648815855,10.29351651979275,-11.198069302689136,1.238856894796418,0.8353190233878443,-3.387442558240213,0.31486070924545034
52,39,53,49,48,43,69,85,54,81,55,8.169828107440742,0.7278313298186503,-0.038811592119855375,-4.013945840438558,11.88154676385242,-13.301204147015996,1.3056723638763004,0.8200708481480985,-4.470569846825046,0.23393351807545754
