time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,population_run_11,ca2mean_run_11,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
23,2981,3614,3550,2298,3322,2865,3457,2943,2615,2703,2946,-4974.459489568175,6818.292624933566,-374.459048184634,11412.341547360415,4322.486841318737,6141.121634807137,1156.9997162778766,-311.1524717478986,-9185.847629598891,10255.524246197663,-13137.24971658495
24,3074,3745,3656,2356,3409,2973,3585,3103,2760,2778,3044,-4973.92422892146,6886.680143777398,-359.6370767975449,11556.4326722526,4354.2929114127555,6211.881664655232,1153.4672852753554,-309.5987826874386,-11379.229373537679,10351.589142150215,-12773.849729912425
25,3210,3839,3776,2451,3525,3061,3697,3236,2923,2892,3129,-4972.324003148055,6740.506140925205,-360.7496890569448,11928.20621462702,4377.937596671213,6176.183292913278,1156.817545230638,-313.99570187446125,-11749.52831437201,9655.751779810755,-12742.207385071622
26,3335,3976,3900,2577,3611,3169,3811,3373,3073,3011,3249,-4825.539759023415,6800.751250842572,-320.16549227688887,12169.195355849319,4248.052345160445,6132.317304547085,1156.4361467854183,-305.8996681148239,-11744.712647820892,9493.627393264505,-12507.163634028704
27,3451,4104,4024,2658,3717,3299,3941,3481,3218,3145,3345,-4801.182259074811,6822.492503466315,-314.7647501440851,12275.006056076916,4275.062379772563,6204.727375043628,1161.2929675340254,-311.76624733994583,-12425.283950144943,9552.383016864176,-12416.111450271032
28,3548,4206,4122,2756,3869,3444,4029,3576,3324,3233,3462,-4756.287480346844,6732.522816062657,-273.9475450518237,12484.673813019994,4264.458532141174,6117.636622020384,1169.2224175997474,-298.6451322875378,-12862.83162627515,9604.949026274084,-12083.528313546947
29,3673,4308,4226,2937,3972,3603,4123,3664,3459,3397,3590,-4780.614082907479,6769.33346932754,-264.2604639235712,12341.566893511776,4236.15627410416,6080.9900382108235,1173.6745793418017,-302.51995442383424,-13019.09405671819,9543.946576454728,-12080.497055847081
30,3765,4396,4281,3082,4122,3707,4262,3804,3581,3495,3711,-4796.002280771335,6856.940493578211,-250.5751759485458,12109.606764903388,4238.199122011296,6042.630524648275,1153.9473532378045,-308.95281910695286,-12921.19458680126,9512.290234910091,-12013.665705945537
31,3874,4509,4430,3212,4252,3818,4369,3948,3659,3629,3838,-4738.359108813503,6932.709407613884,-256.0647831411952,12228.345955133425,4243.219216096303,6051.5293069857535,1158.7154188096463,-311.9332321653396,-13126.186024724055,8985.800671762936,-12012.378993615666
32,4008,4599,4537,3308,4319,3907,4457,4120,3813,3720,3937,-4735.751679086052,6961.52162890479,-243.10638245852982,12263.48068379752,4251.882504555149,5968.085289209734,1142.166925784679,-313.7240004213841,-13396.088923891184,9124.010375773481,-12024.782548830544
