time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,population_run_11,ca2mean_run_11,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
99,5033,5275,5035,5620,5229,5040,4840,5216,5207,5196,4885,-4004.68277535248,8144.314322290134,-234.5627151908711,13214.778053342008,3733.181724738201,4283.715518847723,1011.4584847739915,-177.76191055724135,-10166.775681703231,5277.667470298637,-6460.997129911322
100,4978,5264,5040,5523,5225,5039,4844,5209,5208,5179,4900,-3999.6109368321504,8145.539331650694,-236.357958352301,13173.596931573311,3725.0665329618732,4260.867014925179,1013.4917130693237,-180.36270463402886,-10120.117361434444,5264.275521194088,-6441.851748478639
101,4950,5234,4986,5548,5241,5018,4788,5189,5183,5156,4927,-3977.8922978285646,8137.061028154135,-236.8940999896168,13176.4591808441,3715.8211856952494,4229.235429590521,1012.3711122896717,-181.78684597185446,-9915.956781385888,5220.924920090835,-6447.896995110399
102,4939,5259,4955,5499,5212,5023,4758,5159,5182,5129,4906,-3976.404602266841,8171.418239768189,-237.80327383628537,13201.716754938217,3721.6183146047606,4243.083516513166,1013.6646995589274,-180.75768689607125,-9665.719539619527,5205.255755010673,-6420.205672609531
103,4907,5230,4936,5527,5106,5009,4730,5153,5180,5081,4851,-3973.209680927198,8189.070689117164,-239.45605009788096,13112.346594277107,3712.6197367696286,4228.825847331546,1012.9667274851623,-184.18434742704758,-9488.146008750677,5189.879892614811,-6349.4378612108985
104,4899,5222,4917,5510,5051,4968,4736,5149,5178,5013,4797,-3958.522219320286,8192.532733860087,-247.73646605083852,13020.800107014937,3713.8513128171303,4217.1721374007775,1017.3913208614991,-190.5690832907004,-9493.983878776771,5171.659112131955,-6334.4726015498545
105,4922,5198,4932,5495,5037,4934,4696,5162,5199,4923,4714,-3959.019072829775,8203.012136447525,-254.63695177330615,12979.302332263589,3712.733600409926,4219.378201470027,1013.1532076668958,-194.78055343516502,-9217.277355761653,5091.7111998203645,-6297.063359476071
106,4910,5142,4882,5391,5021,4927,4708,5148,5172,4850,4675,-3958.7841176008283,8201.997620941887,-250.11824528649515,12951.820448560235,3713.4758295152474,4207.946993163427,1004.6468362953219,-194.61411197339487,-9013.072435511898,5086.478597176618,-6269.512042959053
107,4892,5117,4867,5296,4982,4903,4686,5123,5135,4760,4647,-3946.5182587622703,8239.182882313069,-247.81780623577646,12940.626004051588,3713.4847794595803,4196.426068419784,1013.1658109379364,-211.17624149540688,-9006.829526360585,5088.325000870705,-6270.244746316151
108,4894,5102,4846,5220,4994,4894,4661,5082,5152,4706,4629,-3952.390795509043,8275.582793699643,-268.245658307077,12946.344008206572,3718.1302000264577,4174.943279109698,1008.7067990239498,-203.91542191170421,-8876.101151732275,5091.089352417404,-6241.103168396627
109,4846,5115,4858,5134,4917,4862,4676,5088,5126,4710,4617,-3952.691073597785,8277.070996479024,-267.30220645529647,12882.916493749499,3699.935913261332,4170.4904704052715,1003.024406886525,-197.02695787969793,-8799.515187895402,5089.888872960808,-6229.856224040352
110,4830,5123,4857,5067,4912,4823,4685,5072,5098,4659,4633,-3947.581516845942,8320.42554230399,-271.7006469604788,12859.606540436409,3697.189975136083,4182.854634061359,1011.5868589576216,-198.3253213576891,-8726.22404947651,5101.866037241452,-6226.052287760665
111,4797,5134,4870,5057,4902,4803,4668,5093,5047,4654,4646,-3944.078480953412,8336.816903283408,-275.393172610167,12876.828864599316,3691.567677568686,4168.8168771238825,1011.217341353513,-197.52379725063025,-8693.806818463267,5088.437386948403,-6216.302996939501
112,4769,5166,4871,5009,4848,4761,4666,5076,4997,4628,4637,-3938.3503105274744,8337.058362654047,-275.0750170975909,12764.826399679616,3685.281667732759,4152.630681719139,1012.9961454152723,-197.7518276471937,-8657.970747456848,5058.880314579114,-6202.919965192423
113,4743,5123,4833,5013,4854,4757,4629,5057,5012,4597,4600,-3942.7198502622737,8340.306969688916,-288.32149886649916,12768.083097794392,3694.4155883542558,4148.961060189984,1015.4621661794212,-195.87246780893506,-8647.747947643931,5049.833766944907,-6209.554419092047
114,4671,5113,4833,4985,4813,4727,4581,5058,4997,4583,4607,-3937.3317608553734,8336.55750408861,-284.7247234251443,12744.809849137579,3702.4332575743456,4132.273151824233,1020.2221256806075,-198.8946336101316,-8478.288118676795,5028.242404540752,-6213.737331309853
115,4659,5087,4787,4990,4793,4697,4558,5071,4970,4563,4595,-3924.8988517502958,8378.436132147117,-283.8377274441397,12682.506196335877,3701.2779497922797,4117.7265152325235,1017.1394801151976,-199.78371880861107,-8404.597491306156,5036.071552199557,-6183.826998635293
116,4616,5079,4776,5063,4748,4695,4562,5028,4942,4590,4588,-3918.7037000163714,8382.455760029905,-278.95796984027476,12621.213262878704,3697.7876589383955,4080.3769876521533,1019.1981925692858,-198.81411363716722,-8107.719472049262,4994.996432385071,-6162.097171704611
117,4607,5046,4788,5068,4701,4696,4554,5038,4949,4565,4564,-3918.5291148619267,8365.605933276958,-279.58805316063643,12534.823439101276,3701.3248488305794,4078.7346281328623,1015.1847204540816,-200.00631122391468,-8056.897825928778,4992.960262165111,-6162.998544733746
118,4614,5030,4778,5055,4743,4669,4558,5007,4934,4551,4523,-3896.7832191483417,8392.750142683726,-283.2890134327962,12537.709803832857,3701.1273837902495,4069.045396020264,1022.4282312513911,-208.98900583725572,-7924.679740086881,4991.913916228564,-6128.013364456599
119,4599,5011,4764,5041,4753,4659,4543,5005,4966,4560,4464,-3893.0220725322156,8379.406567317428,-283.2778744747006,12530.285756155545,3699.490969671866,4068.2949084898114,1020.805667671338,-221.73869667508032,-7849.852071431987,4975.73395197136,-6124.400804041766
120,4579,4993,4795,5002,4767,4596,4500,4990,5010,4519,4416,-3901.039703159849,8382.01080839175,-288.42423288226956,12495.477605881357,3698.238422342203,4056.7727005544757,1022.4960578415659,-223.61135398760686,-7713.581923015675,4954.946160164342,-6100.979208449584
121,4588,5005,4792,4976,4729,4577,4491,4992,4992,4471,4356,-3893.894523414594,8370.752204980496,-291.87879771948576,12442.712900430357,3691.2712131172484,4048.429536100332,1013.8891547828532,-220.3629716384555,-7671.214900014725,4936.24173399742,-6115.6060205581325
122,4551,4999,4750,4944,4733,4553,4428,4987,4985,4432,4345,-3898.1013530175933,8402.166850040952,-290.61047699732745,12266.013218671402,3682.3673880525007,4037.9175625905486,1007.5415235468254,-216.96734179618718,-7583.7994836023745,4930.6807252082635,-6113.4342140588915
123,4563,4982,4750,4870,4726,4538,4410,4952,5017,4438,4325,-3899.6000844679197,8430.59259622795,-297.1424683224416,12279.72175087996,3683.5739437346087,4030.0894805309467,1005.8820918152109,-219.04463466829037,-7570.452979906056,4925.405417195035,-6105.368865160045
124,4558,4989,4741,4778,4747,4484,4411,4942,4990,4419,4351,-3895.5815577638646,8436.929591741708,-292.8730879677931,12275.24169522423,3684.1647445659582,4014.571230719159,1002.6979186209923,-222.44445904899885,-7391.767003704085,4907.569600787333,-6040.963927488127
125,4548,4982,4747,4691,4770,4492,4393,4934,4952,4435,4344,-3901.90019965022,8450.019082138151,-298.56064815452794,12270.894047101816,3678.956044171987,4007.668888963494,1002.3020244331029,-219.00862861991675,-7345.032367786124,4905.75275979778,-6053.858304127706
126,4564,5001,4729,4610,4734,4515,4412,4901,4945,4416,4360,-3891.155784803456,8457.243368799393,-294.9558892836032,12064.410839670467,3678.9906560494633,4003.251490123936,1002.1665409588612,-223.00754579034705,-7325.3889669768505,4909.153770630667,-6040.001291233032
127,4604,4987,4731,4632,4732,4485,4424,4864,4941,4445,4350,-3874.929511379914,8483.171718246631,-295.18077467522465,12000.21891636418,3672.0883783161858,3995.1616953015646,1008.1057057568138,-227.22320287399566,-7326.585615682171,4914.5861333317725,-6040.472123481624
128,4602,5017,4710,4639,4726,4483,4434,4846,4915,4401,4363,-3861.0019865809063,8485.479425723908,-305.19144307471976,12001.367255154766,3679.847864193343,3975.975878168346,1001.8979941847505,-228.41651148887397,-7228.975482370874,4908.994507128851,-6013.659449945225
129,4570,5040,4717,4654,4710,4495,4446,4828,4877,4388,4287,-3852.651324342475,8497.03612144894,-303.8693205932929,12008.238279618072,3675.902303145886,3951.322680387501,1001.0355686745952,-231.6589193204229,-7118.718684405544,4899.910944930441,-6012.7358110139185
130,4544,5041,4728,4651,4692,4464,4455,4804,4861,4390,4283,-3859.0062018838626,8497.592030601474,-313.8268287431633,11961.747133158951,3664.51294682735,3931.40862230829,1000.7699807574012,-226.67887516056308,-7051.995951367638,4885.115589213625,-5992.867525496167
131,4522,5038,4706,4620,4675,4481,4425,4772,4859,4380,4264,-3863.091201558924,8510.350796649482,-318.2692414595939,11983.384803438677,3665.014506182631,3923.6064760403374,1005.6452999657805,-224.28985966771972,-7019.598292499371,4878.040562795021,-5996.458140010229
132,4543,5024,4700,4610,4618,4486,4435,4799,4833,4352,4263,-3859.701066095655,8503.229537017534,-316.9581434965574,11885.784176605908,3659.2869378288256,3891.447393086346,1019.8637347773395,-227.85419951680552,-7000.994363050178,4876.665085099374,-5982.044588132688
133,4556,4997,4717,4572,4582,4460,4377,4849,4831,4367,4266,-3852.3688261980096,8489.705084407608,-315.17262866205704,11908.5515341422,3660.5535231414133,3870.338094862679,1020.0680933114896,-233.25014640773932,-6953.165162339057,4867.167980104735,-5959.663065729094
134,4520,4991,4703,4554,4609,4434,4391,4819,4829,4325,4261,-3846.338317402098,8531.900583164548,-306.6817667413272,11870.716705224815,3668.8656281664316,3869.5196469378857,1024.6267712119954,-234.55731263026885,-6822.057367636846,4858.593950539551,-5957.5552749400085
135,4492,4995,4678,4511,4568,4404,4384,4827,4822,4338,4277,-3845.0477411789025,8545.853632098442,-315.3395800331644,11851.294780723383,3670.023221326184,3882.4853510970534,1025.322736797589,-235.94363121092155,-6749.679448054617,4869.860843973343,-5967.688509201066
136,4478,4990,4677,4470,4579,4411,4353,4830,4812,4340,4279,-3834.913238673501,8543.568654698205,-320.8428682476545,11873.676013120841,3678.4709168922404,3857.4588197584058,1026.8095993479214,-235.09959122905735,-6706.150830477933,4862.002585506702,-5966.75370579581
137,4468,4994,4692,4465,4610,4385,4358,4832,4820,4337,4237,-3822.11111526787,8566.072100500327,-320.4107845875423,11850.682600518778,3678.3147476090776,3854.8254372789997,1021.7114084439238,-227.2992740757053,-6677.262650494056,4854.891464319637,-5961.808967688306
138,4445,5000,4660,4438,4618,4401,4345,4827,4786,4316,4220,-3828.9591997838356,8548.173971434442,-321.0169113393984,11762.112461294219,3682.066805369585,3841.6930033044264,1017.0589796437754,-237.17246027871272,-6594.560109042574,4851.1319000330095,-5937.910163722391
139,4448,4983,4668,4425,4622,4454,4327,4838,4819,4340,4215,-3834.290596966472,8562.294482379615,-322.5975469323722,11686.660072573583,3681.817804698577,3814.5111373862874,1021.7033404448238,-241.39778056205603,-6557.772720246509,4843.470402708862,-5921.758946588504
140,4432,4967,4642,4396,4613,4456,4323,4851,4819,4318,4211,-3824.4251061379196,8582.475214068572,-318.9338504386394,11606.869752982564,3680.8010469270494,3796.088667423719,1029.390179586249,-241.8660646403945,-6558.547379606436,4839.759051811299,-5923.10970399812
141,4449,4972,4672,4388,4595,4456,4304,4835,4807,4348,4181,-3819.1384519744674,8589.714878606395,-318.6240925979524,11563.881303233162,3676.292804077882,3787.8035581067693,1025.0108266984678,-246.16118388985652,-6486.644474022215,4831.37709350284,-5923.599407641351
142,4440,4979,4704,4403,4562,4445,4327,4841,4798,4407,4150,-3824.175046440709,8595.010185053756,-316.13020726882655,11557.233903677175,3684.4071500931527,3780.6547719008763,1028.522638212401,-244.3668474069574,-6413.719071915439,4836.462010174771,-5905.475214117441
143,4424,4953,4712,4407,4585,4421,4300,4820,4762,4391,4174,-3827.780544296907,8602.286495317185,-316.3041033617036,11522.096823605767,3672.484410030008,3766.5079869461133,1020.0048779145465,-240.2082646389622,-6336.405856992539,4812.019062183852,-5897.608155926302
144,4430,4939,4720,4404,4581,4430,4329,4834,4719,4379,4179,-3820.4939310621335,8589.169181669535,-317.2505799113028,11543.741120039005,3671.3969367503923,3754.4952261926464,1015.9150297547021,-233.87699962227907,-6241.123617186402,4816.256431116232,-5906.429904275857
145,4434,4941,4724,4394,4543,4437,4328,4796,4717,4370,4202,-3809.5938411048437,8587.460928211154,-316.7031952898904,11531.501672049115,3669.6613103616874,3726.093297954413,1021.142152598147,-229.7022656781515,-6243.1276330022365,4823.483957390147,-5908.929437114094
146,4443,4951,4716,4437,4547,4448,4332,4798,4710,4380,4184,-3795.6695797873963,8582.502197429478,-315.3540430965744,11549.891639832902,3670.5586683325223,3712.5443082621746,1028.072809138814,-230.82431565854387,-6180.532320887539,4803.741441203967,-5892.868223191074
147,4439,4951,4688,4420,4538,4400,4299,4818,4713,4378,4225,-3785.521762343191,8580.524286918964,-311.47557649055017,11509.107328793956,3666.7334816780613,3695.0016217814173,1025.9043822994088,-232.12179045118424,-6114.588406435263,4794.517442475987,-5868.351199519928
148,4478,4916,4672,4396,4544,4430,4297,4800,4725,4350,4209,-3797.450138531187,8587.31759316802,-327.1626919530149,11489.494709221082,3667.2379236911397,3687.1985913316553,1018.1358895984594,-233.9873878851278,-5973.526146004813,4778.064795594435,-5838.286920705199
149,4475,4917,4681,4398,4545,4377,4297,4804,4697,4341,4194,-3798.1231849897267,8574.592347149923,-329.12331628565056,11454.498127274655,3667.22940618384,3672.950944294222,1017.8114842783607,-233.41937573910897,-5934.111900454183,4780.90053286262,-5837.961609810261
150,4461,4907,4651,4380,4542,4382,4286,4822,4649,4338,4169,-3790.1894789018775,8586.241968604854,-337.3636912561819,11427.142595760573,3656.9867770424207,3661.044235189385,1022.3188142016734,-232.2661256646288,-5919.807162017769,4782.287411179181,-5837.364330678767
151,4444,4915,4647,4373,4553,4410,4239,4788,4648,4314,4152,-3791.495334551066,8583.228111564602,-338.3904280768159,11406.41094217593,3642.364670572076,3650.2776692336665,1019.4657123687144,-229.48073381770593,-5897.6428511452195,4760.461610944667,-5820.8620633206765
152,4440,4935,4646,4351,4537,4406,4237,4786,4653,4293,4165,-3795.172605341674,8598.579074568252,-339.2951908326605,11397.348099126171,3645.2295706967693,3644.1754981827034,1021.1990796486841,-229.6221606275681,-5890.7190096563945,4756.746433882951,-5818.275913837285
153,4420,4955,4646,4367,4522,4390,4217,4790,4643,4314,4175,-3812.7124543735463,8603.021066869178,-340.54917706860255,11385.20390463165,3638.2370752471356,3626.0381125693098,1025.525565799036,-238.5515389980076,-5873.014905008542,4726.055843527687,-5821.79872052538
154,4411,4945,4657,4329,4526,4360,4204,4766,4628,4343,4204,-3808.124622284511,8608.542619309685,-347.49479038778776,11381.585825385377,3638.6852893499613,3613.120384992054,1017.2367999861202,-241.42710952795048,-5872.494464874825,4710.48895318575,-5829.59924675401
155,4418,4940,4658,4345,4538,4409,4216,4744,4604,4361,4204,-3800.240383352913,8610.703382700634,-344.7605510552109,11380.17422284821,3641.347146824668,3599.9037407616006,1024.3232259176466,-247.87810062319662,-5816.868387287517,4715.609540556214,-5813.135010068117
156,4444,4948,4651,4327,4516,4381,4237,4716,4581,4355,4246,-3791.4436138431715,8618.151267819034,-335.74056269916656,11370.578766680783,3637.4204326739164,3583.5054461692976,1015.0988452118361,-248.60286967753098,-5761.110012110339,4696.24017640493,-5798.472908212321
157,4469,4938,4668,4292,4506,4385,4265,4710,4557,4365,4209,-3787.5551121255717,8609.888860008767,-336.2928021340888,11364.803344120466,3639.5050132558135,3568.480321201509,1015.67523875488,-246.14992842572588,-5700.711430005586,4698.651979219455,-5799.368170570424
158,4435,4933,4649,4284,4488,4393,4247,4715,4539,4377,4174,-3778.915030045134,8600.139282950671,-336.90607653562495,11331.707901550924,3640.5473575431597,3564.1573015165304,1016.4192779054148,-247.14335384133327,-5700.0863375301715,4700.836955140487,-5804.034807299732
159,4420,4937,4645,4256,4472,4405,4242,4721,4551,4380,4135,-3779.0002529312055,8598.315943107875,-326.030364595996,11350.034130134485,3641.7733292267576,3568.6982695418087,1016.8190077127622,-249.13929001239603,-5698.710587028384,4695.040604308418,-5793.374400294768
160,4433,4945,4660,4243,4459,4396,4252,4753,4560,4394,4121,-3771.6357602111116,8609.007419587573,-328.17622241590675,11318.678164200492,3628.5649617284803,3549.649224116752,1017.3041069453823,-248.40696370547505,-5664.711355839776,4690.677394794241,-5793.060760913078
161,4430,4950,4686,4248,4484,4400,4218,4754,4584,4385,4094,-3771.5570499734463,8601.175588666454,-330.4184729440686,11312.096918970288,3623.7409788783684,3534.6239463343395,1014.633322752784,-245.0858747835536,-5650.409714234726,4691.967672711226,-5788.520959792415
162,4435,4978,4693,4243,4501,4415,4231,4735,4567,4375,4082,-3770.861190416895,8591.40320949137,-332.6361930090151,11248.420151872107,3628.5857389329785,3515.522884178245,1017.9535778926426,-254.02489264991698,-5597.382728466793,4680.727786360758,-5770.816489694209
163,4384,5006,4669,4221,4519,4391,4240,4754,4553,4352,4061,-3774.2691505324988,8592.153116163554,-337.5948402614429,11204.127833293473,3619.3823382049263,3510.2435704426757,1017.2159774425804,-255.7572360766708,-5584.332381930852,4678.012693272621,-5746.9905780165855
164,4381,4971,4651,4218,4533,4378,4255,4757,4560,4346,4039,-3768.9809861394174,8593.614928777248,-341.9785275749706,11186.964096862663,3621.253223293866,3501.44026752502,1018.5333120987015,-251.4299723122039,-5494.915561173028,4672.943973015171,-5734.543719260495
165,4383,4942,4635,4227,4464,4388,4253,4727,4575,4329,4055,-3758.678811562805,8597.86496637985,-333.29749246043787,11193.21399262298,3617.0962950730222,3481.4533467292936,1021.8377513544157,-246.67556656258085,-5444.85832661194,4668.969683556421,-5737.343709909635
166,4373,4920,4606,4202,4446,4374,4267,4730,4582,4342,4066,-3758.041611142629,8586.809351111422,-329.954340668475,11127.2811909226,3618.5355651698173,3480.0415609595393,1026.644435659981,-245.4712017928152,-5412.608177065956,4667.3047737011775,-5728.268501324232
167,4347,4908,4614,4221,4429,4374,4290,4722,4569,4300,4053,-3750.913254227723,8568.737854998475,-332.5468478049406,11124.882504566365,3617.363473489593,3472.5197221527137,1033.4874232373184,-248.5026337125298,-5403.8066766201255,4652.73038064566,-5729.9686583477915
168,4377,4908,4633,4196,4443,4364,4281,4729,4585,4284,4030,-3747.360213431579,8577.464943235564,-334.58199642047583,11126.197035415527,3610.835594514433,3468.343022754462,1030.9157320257984,-250.42579932663722,-5395.347142756468,4647.438863525252,-5703.54629587335
169,4381,4928,4621,4199,4436,4344,4298,4705,4557,4274,4027,-3745.7440979873577,8583.570977714015,-335.98062060281916,11074.316754926536,3606.2423601956625,3460.5200542350703,1033.1538531168908,-249.18404540905763,-5308.459421012183,4644.193725231288,-5694.99267838133
170,4359,4914,4626,4207,4453,4346,4271,4718,4556,4230,4019,-3747.9569597118852,8575.375639798352,-335.4888433886757,11054.006306807558,3608.9756594811724,3466.3860109079824,1031.726698586631,-246.77480811118815,-5242.947021322145,4635.968413805149,-5695.84734102181
171,4386,4894,4631,4246,4454,4358,4257,4697,4544,4234,4063,-3745.428264383206,8573.204028305528,-336.74606361127394,11032.041910930491,3609.849285411786,3442.012384061073,1032.8081976925096,-238.66463871072986,-5169.697445932227,4635.591917782434,-5685.988600684678
172,4413,4895,4635,4243,4469,4357,4242,4693,4526,4240,4055,-3731.82682400891,8572.452981844272,-343.2014727294263,10982.00584588209,3610.9885742155293,3437.6152748736495,1032.6554872321424,-239.84138110580068,-5071.179418324107,4648.9857638805415,-5672.576522184019
173,4412,4880,4648,4249,4438,4336,4227,4675,4512,4279,4064,-3732.9134881536793,8568.166788012886,-353.0730693748321,10963.407442377065,3610.4464052646026,3412.8500100081283,1034.0523815439792,-245.1578569398284,-5071.575009092785,4631.110529213782,-5659.32211851085
174,4420,4893,4639,4210,4430,4322,4247,4679,4512,4251,4055,-3732.4967687308854,8564.395943433203,-354.0010432222795,10958.526425569298,3606.752566830495,3394.516991313904,1033.686626537769,-242.92009846563911,-5071.766105646512,4626.700604759315,-5652.147101946917
175,4400,4891,4638,4206,4412,4328,4220,4692,4501,4241,4055,-3726.887284381133,8572.658125818105,-355.9380535210803,10942.509484313474,3609.078123090948,3389.3302261328718,1032.754336448343,-240.8072731990235,-5000.1706751302345,4605.903409563181,-5647.821012732031
176,4395,4891,4627,4196,4402,4330,4216,4660,4509,4245,4055,-3724.221580480118,8570.830190493933,-354.6721820548349,10951.369056996236,3613.6078176154647,3384.1591313578183,1025.5708342854778,-248.75133876706428,-4990.158139304935,4591.826420144945,-5648.402421746767
177,4392,4891,4637,4168,4389,4320,4219,4670,4547,4243,4062,-3716.3233251348483,8571.452065752366,-354.35209949682826,10960.710959173048,3611.6862264732845,3374.690050085547,1017.6784755586108,-253.32546404568018,-4961.762879925737,4597.397617161762,-5641.123330782127
178,4364,4883,4660,4165,4397,4310,4177,4658,4564,4223,4076,-3720.6258699142495,8561.386763492195,-354.5765572184597,10919.999305198302,3621.952648598583,3369.047918430928,1020.8368345724838,-254.32822347433543,-4937.858560440648,4582.131483545138,-5634.614273840143
179,4391,4878,4658,4166,4399,4288,4184,4668,4570,4287,4080,-3710.2751846944907,8573.446985805364,-350.33966581277986,10907.993347896572,3622.70632766018,3360.3766202964357,1022.8045049791303,-257.2534287819179,-4901.047166403771,4581.521122175192,-5633.720073863001
180,4395,4874,4650,4164,4408,4273,4202,4649,4531,4341,4074,-3708.6861001353423,8580.614015425313,-356.1770185409007,10885.17326078639,3617.3758665033,3361.4809013582135,1023.9790940317396,-257.38386092677746,-4844.218243340545,4581.40841839525,-5625.556756384807
181,4379,4839,4633,4160,4408,4308,4226,4661,4522,4330,4053,-3703.168003939851,8571.92917723739,-350.5608822701705,10891.479797193571,3608.0516754853343,3351.034967479215,1030.7364074467405,-251.3548227682919,-4843.115942100367,4576.762961984889,-5630.0928021611635
182,4363,4843,4622,4169,4426,4282,4178,4677,4487,4364,4055,-3698.8714200415134,8556.769637381374,-350.3248102436118,10888.615061379673,3610.8154832611435,3339.735686937557,1031.383241106477,-258.20935382069405,-4835.754696800698,4574.501343927501,-5623.165934900597
183,4317,4854,4625,4194,4402,4315,4169,4648,4509,4341,4055,-3694.245286709914,8547.915529830056,-348.70886356059015,10864.888628176905,3610.6689060303324,3325.784482734175,1036.237951344867,-247.60197643712394,-4818.2110134521245,4570.939460416895,-5629.4854773923435
184,4341,4855,4654,4169,4431,4320,4178,4665,4483,4314,4027,-3687.2338107010214,8534.363150301951,-350.1781401609706,10854.914275674175,3611.29156742319,3315.0601550391634,1035.5774935933807,-245.20843428515323,-4728.958606593217,4571.003115474733,-5626.737140504976
185,4333,4839,4629,4183,4405,4310,4194,4649,4453,4308,4035,-3689.3658865048847,8536.503629580937,-347.86072142984887,10848.493044632678,3614.0865851227654,3292.5135541550744,1042.4062425388356,-244.87573823432982,-4725.496136300901,4571.460937483204,-5629.148180786458
186,4288,4829,4622,4184,4419,4314,4162,4653,4464,4302,4050,-3682.166549083909,8526.51408228706,-356.4444015969692,10851.829741006637,3606.6280610742124,3281.5874028483386,1052.1135467350928,-239.3146919470013,-4646.849704992294,4553.8179878191395,-5632.826713393551
187,4305,4794,4629,4166,4422,4279,4204,4674,4464,4268,4081,-3682.7413440809837,8525.990402382638,-359.67999589394896,10830.06046179888,3608.3204450245803,3279.950813443238,1052.6092982713624,-235.7896806221001,-4615.223092392183,4555.920551963592,-5633.660052306995
188,4299,4798,4626,4183,4442,4276,4188,4697,4482,4275,4099,-3665.903700602936,8513.149624238671,-368.06668412070263,10799.383818760454,3606.928254125176,3272.1367477291546,1056.6803189993577,-232.13914158941284,-4586.604069776396,4539.276475996146,-5627.337811768271
189,4290,4801,4655,4194,4386,4297,4209,4701,4489,4264,4119,-3668.723255232589,8508.297819427087,-363.9655807537665,10789.824572963029,3608.318658178792,3261.4603921179387,1054.647455980044,-231.62019869508947,-4584.439875904965,4545.577930253852,-5624.138509549092
190,4280,4814,4639,4171,4398,4311,4199,4710,4499,4284,4135,-3672.105750418877,8508.079088825512,-360.3402688720489,10777.767686487028,3608.037862107934,3261.6371355821293,1059.420878867204,-236.20817850140284,-4517.391202389423,4535.182246177587,-5626.98035608118
191,4289,4830,4631,4161,4362,4311,4212,4697,4535,4274,4117,-3671.278372860512,8509.24552482049,-367.63535659901413,10779.800345465197,3604.926041774346,3253.09485717015,1064.7646399834168,-243.9698975773031,-4472.950875362597,4530.0950057238915,-5620.657739001709
192,4305,4844,4606,4163,4344,4310,4207,4677,4532,4261,4062,-3667.8973264689944,8495.030455231765,-371.54455278131167,10782.484437790241,3601.786415891582,3239.438290092348,1071.463735877941,-242.37799698848252,-4420.414424945134,4508.926857567196,-5615.649707069236
193,4336,4846,4604,4149,4357,4335,4231,4677,4528,4240,4047,-3666.4050157034576,8500.98666233713,-375.1139039925204,10757.492698375101,3604.8601327937067,3229.382608417992,1068.944401546865,-245.3904394623319,-4423.73156032548,4514.244197791973,-5615.639585228236
194,4339,4876,4586,4136,4359,4322,4220,4688,4493,4253,4019,-3674.2782981547502,8496.763570524068,-371.92703756825773,10753.668693270754,3597.248926849805,3219.239683558431,1068.2814903515416,-246.67124687203238,-4411.191385531309,4509.624390748197,-5610.837300024972
195,4323,4858,4572,4165,4344,4332,4217,4697,4436,4272,4025,-3674.430786511129,8496.865887843982,-370.16445221430706,10760.208111068296,3598.8526494905623,3210.9477038188807,1070.8422753262664,-249.34600575612188,-4316.314856720689,4504.8025729400015,-5586.448056507861
196,4320,4848,4578,4179,4331,4329,4209,4711,4451,4281,4018,-3666.0040322633286,8480.68294923632,-380.2094405673823,10750.49937336599,3597.0022512211467,3176.517754611687,1071.8476301892356,-245.05365508553194,-4305.6976199110995,4505.410052183362,-5577.380323917249
197,4330,4844,4573,4171,4341,4341,4202,4690,4460,4266,4025,-3660.8659408936296,8453.300055505519,-381.06021544411374,10729.719111193845,3600.287140884691,3164.8306307032467,1069.152931129232,-248.95928916176052,-4275.9644070408185,4500.841785099524,-5584.158207009087
198,4308,4833,4593,4136,4343,4303,4189,4712,4465,4289,4012,-3654.2685444547733,8450.549280288986,-379.46856858446444,10714.586200786023,3603.4171365094044,3140.779654916091,1067.588305383708,-248.8073241159127,-4256.630219321272,4474.339262417249,-5588.6537363880925
199,4317,4822,4589,4118,4374,4292,4177,4693,4468,4252,4028,-3659.583272475436,8455.358226147737,-379.92407289302156,10718.827876511396,3601.1096803228847,3130.97845569824,1064.9887092711033,-252.3455804146954,-4215.824739430543,4464.535401168727,-5585.410567625969
