time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
31,196,325,94,204,78,306,-16.684277852127682,-8.968810651660018,741.6531379156071,-91.99933386487399,-79.58871647394065,-2528.3377501766645
32,192,327,98,216,89,305,-16.07401614786091,-9.318637504954077,758.8108729947539,-97.90263881316528,-75.83649419447676,-2528.563619637381
33,198,332,104,233,95,313,-16.025827083264623,-9.347702722480784,785.1217964254439,-101.16592974330693,-74.61909714030429,-2199.626532586019
34,206,325,111,241,111,325,-15.116506842097001,-9.374554893012714,805.7576096890703,-105.3703602068892,-69.13085349604887,-2201.726954454242
35,205,337,124,254,120,332,-13.916495192856807,-9.220683178086338,826.6739806793648,-109.26379666250061,-60.7106735451412,-2042.8488810518716
36,211,345,129,271,124,341,-13.24140750684397,-9.185309402928475,829.7468167595047,-112.45175733382914,-56.872439552669206,-2046.2361358863072
37,224,353,135,267,133,358,-13.146268832524193,-9.402439327134513,829.7445281386667,-117.09859419977334,-49.75892014941011,-2046.48965538076
38,241,360,143,266,128,365,-13.089834383429178,-9.082249731964943,827.5703461585268,-118.25536528514135,-48.682290005652945,-1906.5509233555479
39,255,380,151,263,145,380,-11.626949150124183,-8.888108273963208,822.5497698311767,-120.24615154653846,-46.07544902053262,-1864.1804095424463
40,256,400,155,253,159,394,-10.850245948546414,-8.807466128680616,821.9073842431474,-122.83243681441886,-40.97717621993879,-1862.058264531433
41,267,416,182,264,172,420,-10.942241622619372,-8.752489071556774,850.5235361183828,-125.3614249100046,-38.01955316890396,-1766.7649984396935
42,293,431,197,310,186,422,-10.837332026123775,-8.906208289750177,882.3685299655826,-128.18400890964813,-35.31548794306734,-1767.6309985734506
43,298,444,198,350,206,440,-10.980530790241737,-8.135245117395964,890.660087752126,-131.48821664929295,-31.521927488887854,-1767.8792415556534
44,332,465,210,404,212,452,-10.891842615856389,-7.985181061145737,902.6684896153541,-135.64889000019684,-29.275558626988932,-1768.4500863836556
45,355,453,224,427,217,455,-10.894823968043957,-7.894187216224399,900.6248838550046,-139.37182047970754,-28.674344681389567,-1698.6104701429224
46,364,461,238,454,221,462,-11.050026123001464,-7.578449604805881,941.5866462329487,-139.74103772429422,-25.870737493356618,-1694.760878894327
47,365,480,251,458,246,473,-11.025463724891065,-7.856495066367273,944.8061933092313,-145.56312782222744,-23.038631051695965,-1694.5312465306752
48,399,506,252,470,262,483,-10.902289672750141,-7.380850214305062,951.2287225625684,-149.80397299201,-22.138537180337515,-1603.5556003914282
49,409,511,266,492,257,486,-11.21107155890411,-7.5084564137793315,959.7322327294683,-156.69454450362173,-21.228960228310193,-1563.1820306578636
50,443,531,270,490,290,493,-11.08905207586489,-7.332191016522253,954.8059486119827,-160.16471261306512,-14.43233358766379,-1560.247539987269
51,445,536,274,478,323,491,-11.44266270414618,-6.9819102349981055,957.3010915974022,-163.98913272238698,-9.708296024994329,-1560.4098410129343
52,453,548,302,493,344,508,-11.556775879622974,-7.043657108006816,966.3966561487072,-165.4476917375503,-6.25358423859786,-1518.9813287211005
53,454,589,323,473,362,530,-11.754947553663156,-7.022175187089387,976.3836751926412,-172.16272296072546,-4.169311290778582,-1518.9259909499601
54,460,614,333,482,389,544,-11.468131399556986,-7.173460468922756,969.1864009874848,-176.48424365116986,-3.148166981686564,-1518.9131625330979
55,454,632,339,503,389,576,-10.264366484194834,-7.449742493800449,959.3737342560844,-181.52397052495317,1.2221220045951815,-1473.4344302874345
56,458,635,339,492,391,600,-9.964709632559995,-7.158563086153519,962.2684863120699,-186.06461605165043,1.4484252874890602,-1457.800092289812
57,472,648,364,533,405,613,-9.233369085191026,-7.391935131913367,964.6476017638297,-189.8007845192694,2.7746709535493035,-1442.2517603781164
58,487,647,364,550,425,624,-9.17811385286055,-7.103073379936022,965.2206379187534,-194.3996618927866,3.9990323015074503,-1429.4342791497359
59,508,666,379,567,433,632,-8.713140630693788,-7.59583784060954,964.0775662368011,-196.37148536590115,6.56514970179505,-1358.6202199522654
60,539,685,396,565,435,646,-8.309751592519135,-7.4071792217726,951.1773049963941,-203.0698257031504,11.146278358572953,-1346.405095558453
61,566,710,399,585,431,658,-7.60950589602952,-7.120607017931188,961.849599768079,-203.33732655451215,11.934951312247442,-1238.6659453026548
62,593,733,419,596,438,687,-7.5974875094822245,-7.302720836336868,958.410099745529,-205.07083672381106,12.833428334288499,-1184.9347637254582
63,624,755,431,632,459,723,-6.6645380482170085,-7.559248273824062,958.8390762582404,-208.75381286792603,15.866870791643349,-1164.9360064180823
64,645,776,451,639,483,715,-6.506693932007592,-7.373400973657637,968.2467604356976,-211.81508153968085,19.52420871060353,-1152.3005056036625
65,667,770,462,657,488,734,-6.592519653704998,-7.533991337244245,968.5420349674889,-218.00015257824532,20.059015926717223,-1152.4748032768298
66,670,792,457,663,491,721,-6.529368568055174,-7.503572588837373,980.0198384372688,-221.9789257029688,20.570623715113417,-1151.9776935863517
67,663,772,460,664,517,730,-6.272992568230207,-7.3058448801749725,976.5600200945169,-219.3388332731574,20.72838428737604,-1151.504276076731
68,653,766,468,678,538,741,-5.465951232942853,-7.0258669675147765,972.1164827346308,-221.75144671507562,20.92558203598741,-1123.2496219927543
69,670,764,455,677,559,755,-4.193665107218411,-7.2456068161921365,972.4657162469139,-225.79089169334,24.152362330193025,-1122.9923532971418
70,677,766,475,713,564,768,-4.041651306398813,-7.0839706305629395,977.4883063896887,-228.75407286848318,24.300996272626094,-1124.8494259094819
71,672,754,490,731,604,761,-3.591610242146476,-7.449873309623804,979.8314074203361,-231.7459368441082,27.093244160814667,-1079.4184928131533
72,674,782,520,741,614,756,-2.688714627379011,-6.7200659747797635,979.6250563090861,-232.34125832675852,28.5100958309271,-1063.2725395701136
73,683,805,512,730,622,782,-1.964161102072491,-6.78155574138826,978.7368502275802,-235.2149643146348,29.732737150645846,-960.1739725801018
